, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Werder Bremen, ,34,22,8,4,79,38, ,11,4,2,42,21, ,11,4,2,37,17, ,41,74
2,Bayern Munich, ,34,20,8,6,70,39, ,13,3,1,43,19, ,7,5,5,27,20, ,31,68
3,Bayer Leverkusen, ,34,19,8,7,73,39, ,12,1,4,43,18, ,7,7,3,30,21, ,34,65
4,VfB Stuttgart, ,34,18,10,6,52,24, ,9,7,1,29,13, ,9,3,5,23,11, ,28,64
5,VfL Bochum, ,34,15,11,8,57,39, ,11,5,1,30,6, ,4,6,7,27,33, ,18,56
6,Borussia Dortmund, ,34,16,7,11,59,48, ,12,3,2,39,16, ,4,4,9,20,32, ,11,55
7,Schalke 04, ,34,13,11,10,49,42, ,7,7,3,28,16, ,6,4,7,21,26, ,7,50
8,Hamburg SV, ,34,14,7,13,47,60, ,11,3,3,33,22, ,3,4,10,14,38, ,-13,49
9,Hansa Rostock, ,34,12,8,14,55,54, ,10,1,6,34,18, ,2,7,8,21,36, ,1,44
10,VfL Wolfsburg, ,34,13,3,18,56,61, ,11,1,5,38,25, ,2,2,13,18,36, ,-5,42
11,Borussia Monchengladbach, ,34,10,9,15,40,49, ,7,6,4,21,16, ,3,3,11,19,33, ,-9,39
12,Hertha Berlin, ,34,9,12,13,42,59, ,6,6,5,26,24, ,3,6,8,16,35, ,-17,39
13,SC Freiburg, ,34,10,8,16,42,67, ,10,3,4,32,25, ,0,5,12,10,42, ,-25,38
14,Hannover 96, ,34,9,10,15,49,63, ,5,7,5,27,26, ,4,3,10,22,37, ,-14,37
15,Kaiserslautern, ,34,11,6,17,39,62, ,8,5,4,25,19, ,3,1,13,14,43, ,-23,36
16,Eintracht Frankfurt, ,34,9,5,20,36,53, ,6,4,7,25,24, ,3,1,13,11,29, ,-17,32
17,TSV 1860 Munich, ,34,8,8,18,32,55, ,5,4,8,16,25, ,3,4,10,16,30, ,-23,32
18,FC Cologne, ,34,6,5,23,32,57, ,6,2,9,22,23, ,0,3,14,10,34, ,-25,23
