, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Lyon, ,38,24,9,5,64,27, ,12,6,1,32,14, ,12,3,4,32,13, ,37,81
2,Marseille, ,38,19,7,12,53,38, ,14,2,3,35,16, ,5,5,9,18,22, ,15,64
3,Toulouse, ,38,17,7,14,44,43, ,10,4,5,26,17, ,7,3,9,18,26, ,1,58
4,Stade Rennes, ,38,14,15,9,38,30, ,10,6,3,24,15, ,4,9,6,14,15, ,8,57
5,Lens, ,38,15,12,11,47,41, ,9,8,2,28,16, ,6,4,9,19,25, ,6,57
6,Bordeaux, ,38,16,9,13,39,35, ,12,3,4,25,12, ,4,6,9,14,23, ,4,57
7,Sochaux, ,38,15,12,11,46,48, ,10,6,3,24,17, ,5,6,8,22,31, ,-2,57
8,AJ Auxerre, ,38,13,15,10,41,41, ,10,7,2,20,13, ,3,8,8,21,28, ,0,54
9,AS Monaco, ,38,13,12,13,45,38, ,9,5,5,26,18, ,4,7,8,19,20, ,7,51
10,Lille, ,38,13,11,14,45,43, ,9,5,5,26,16, ,4,6,9,19,27, ,2,50
11,St Etienne, ,38,14,7,17,52,50, ,11,0,8,31,24, ,3,7,9,21,26, ,2,49
12,Le Mans, ,38,11,16,11,45,46, ,7,10,2,25,18, ,4,6,9,20,28, ,-1,49
13,AS Nancy Lorraine, ,38,13,10,15,37,44, ,12,2,5,26,19, ,1,8,10,11,25, ,-7,49
14,Lorient, ,38,12,13,13,33,40, ,8,6,5,17,13, ,4,7,8,16,27, ,-7,49
15,Paris Saint-Germain, ,38,12,12,14,42,42, ,7,5,7,24,23, ,5,7,7,18,19, ,0,48
16,Nice, ,38,9,16,13,34,40, ,8,8,3,27,19, ,1,8,10,7,21, ,-6,43
17,Valenciennes, ,38,11,10,17,36,48, ,7,8,4,18,16, ,4,2,13,18,32, ,-12,43
18,Troyes, ,38,9,12,17,39,54, ,8,7,4,29,23, ,1,5,13,10,31, ,-15,39
19,Sedan, ,38,7,14,17,46,58, ,4,10,5,23,22, ,3,4,12,23,36, ,-12,35
20,Nantes, ,38,7,13,18,29,49, ,4,8,7,15,23, ,3,5,11,14,26, ,-20,34
