Eastern Conference, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Columbus Crew, ,30,12,13,5,40,32, ,8,5,2,26,18, ,4,8,3,14,14, ,8,49
2,DC United, ,30,11,9,10,43,42, ,9,4,2,31,17, ,2,5,8,12,25, ,1,42
3,New York Red Bulls, ,30,11,7,12,47,49, ,7,4,4,22,17, ,4,3,8,25,32, ,-2,40
4,New England Revolution, ,30,8,9,13,42,43, ,6,3,6,24,20, ,2,6,7,18,23, ,-1,33
5,Chicago Fire, ,30,8,9,13,36,44, ,7,3,5,21,16, ,1,6,8,15,28, ,-8,33
Western Conference, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Sporting Kansas City, ,30,14,7,9,38,30, ,9,3,3,22,12, ,5,4,6,16,18, ,8,49
2,Los Angeles Galaxy, ,30,11,10,9,42,40, ,8,5,2,25,16, ,3,5,7,17,24, ,2,43
3,Colorado Rapids, ,30,10,11,9,29,32, ,7,7,1,16,8, ,3,4,8,13,24, ,-3,41
4,San Jose Earthquakes, ,30,9,11,10,41,35, ,5,8,2,25,16, ,4,3,8,16,19, ,6,38
5,FC Dallas, ,30,10,6,14,34,45, ,6,4,5,22,18, ,4,2,9,12,27, ,-11,36
