, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Marseille, ,38,23,9,6,69,36, ,14,3,2,37,14, ,9,6,4,32,22, ,33,78
2,Lyon, ,38,20,12,6,64,38, ,12,4,3,32,17, ,8,8,3,32,21, ,26,72
3,AJ Auxerre, ,38,20,11,7,42,29, ,11,5,3,24,14, ,9,6,4,18,15, ,13,71
4,Lille, ,38,21,7,10,72,40, ,14,3,2,44,15, ,7,4,8,28,25, ,32,70
5,Montpellier, ,38,20,9,9,50,40, ,12,4,3,24,12, ,8,5,6,26,28, ,10,69
6,Bordeaux, ,38,19,7,12,58,40, ,12,4,3,34,13, ,7,3,9,24,27, ,18,64
7,Lorient, ,38,16,10,12,54,42, ,10,7,2,36,19, ,6,3,10,18,23, ,12,58
8,AS Monaco, ,38,15,10,13,39,45, ,11,5,3,26,14, ,4,5,10,13,31, ,-6,55
9,Stade Rennes, ,38,14,11,13,52,41, ,10,4,5,31,18, ,4,7,8,21,23, ,11,53
10,Valenciennes, ,38,14,10,14,50,50, ,7,7,5,23,21, ,7,3,9,27,29, ,0,52
11,Lens, ,38,12,12,14,40,44, ,9,7,3,27,17, ,3,5,11,13,27, ,-4,48
12,AS Nancy Lorraine, ,38,13,9,16,46,53, ,6,4,9,20,26, ,7,5,7,26,27, ,-7,48
13,Paris Saint-Germain, ,38,12,11,15,50,46, ,9,5,5,32,20, ,3,6,10,18,26, ,4,47
14,Toulouse, ,38,12,11,15,36,36, ,8,4,7,19,16, ,4,7,8,17,20, ,0,47
15,Nice, ,38,11,11,16,41,57, ,7,7,5,23,23, ,4,4,11,18,34, ,-16,44
16,Sochaux, ,38,11,8,19,28,52, ,8,1,10,18,29, ,3,7,9,10,23, ,-24,41
17,St Etienne, ,38,10,10,18,27,45, ,5,7,7,13,16, ,5,3,11,14,29, ,-18,40
18,Le Mans, ,38,8,8,22,36,59, ,6,6,7,22,25, ,2,2,15,14,34, ,-23,32
19,Boulogne, ,38,7,10,21,31,62, ,4,5,10,19,31, ,3,5,11,12,31, ,-31,31
20,Grenoble, ,38,5,8,25,31,61, ,4,5,10,24,28, ,1,3,15,7,33, ,-30,23
