, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Lyon, ,38,24,7,7,64,26, ,13,4,2,39,8, ,11,3,5,25,18, ,38,79
2,Paris Saint-Germain, ,38,22,10,6,50,28, ,13,4,2,33,15, ,9,6,4,17,13, ,22,76
3,AS Monaco, ,38,21,12,5,59,30, ,11,5,3,35,16, ,10,7,2,24,14, ,29,75
4,AJ Auxerre, ,38,19,8,11,60,34, ,13,3,3,38,15, ,6,5,8,22,19, ,26,65
5,Sochaux, ,38,18,9,11,54,42, ,12,4,3,33,17, ,6,5,8,21,25, ,12,63
6,Nantes, ,38,17,9,12,47,35, ,10,6,3,26,12, ,7,3,9,21,23, ,12,60
7,Marseille, ,38,17,6,15,51,45, ,12,3,4,34,18, ,5,3,11,17,27, ,6,57
8,Lens, ,38,15,8,15,34,48, ,10,6,3,21,17, ,5,2,12,13,31, ,-14,53
9,Stade Rennes, ,38,14,10,14,56,44, ,11,6,2,36,15, ,3,4,12,20,29, ,12,52
10,Lille, ,38,14,9,15,41,41, ,8,6,5,19,15, ,6,3,10,22,26, ,0,51
11,Nice, ,38,11,17,10,42,39, ,8,7,4,24,13, ,3,10,6,18,26, ,3,50
12,Bordeaux, ,38,13,11,14,40,43, ,10,5,4,26,15, ,3,6,10,14,28, ,-3,50
13,Strasbourg, ,38,10,13,15,43,50, ,7,6,6,26,23, ,3,7,9,17,27, ,-7,43
14,Metz, ,38,11,9,18,34,42, ,6,3,10,18,22, ,5,6,8,16,20, ,-8,42
15,AC Ajaccio, ,38,10,10,18,33,55, ,8,5,6,18,17, ,2,5,12,15,38, ,-22,40
16,Toulouse, ,38,9,12,17,31,44, ,5,7,7,16,21, ,4,5,10,15,23, ,-13,39
17,Bastia, ,38,9,12,17,33,49, ,8,6,5,22,18, ,1,6,12,11,31, ,-16,39
18,Guingamp, ,38,10,8,20,36,58, ,8,3,8,26,28, ,2,5,12,10,30, ,-22,38
19,Le Mans, ,38,9,11,18,35,57, ,6,7,6,22,18, ,3,4,12,13,39, ,-22,38
20,Montpellier, ,38,8,7,23,41,74, ,6,3,10,22,27, ,2,4,13,19,47, ,-33,31
