, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Barcelona, ,38,25,9,4,73,29, ,14,4,1,40,12, ,11,5,3,33,17, ,44,84
2,Real Madrid, ,38,25,5,8,71,32, ,15,1,3,43,12, ,10,4,5,28,20, ,39,80
3,Villarreal, ,38,18,11,9,69,37, ,14,4,1,41,10, ,4,7,8,28,27, ,32,65
4,Real Betis, ,38,16,14,8,62,50, ,12,5,2,36,22, ,4,9,6,26,28, ,12,62
5,Espanyol, ,38,17,10,11,54,46, ,12,5,2,34,18, ,5,5,9,20,28, ,8,61
6,Sevilla FC, ,38,17,9,12,44,41, ,10,5,4,25,19, ,7,4,8,19,22, ,3,60
7,Valencia, ,38,14,16,8,54,39, ,11,5,3,31,17, ,3,11,5,23,22, ,15,58
8,Deportivo La Coruña, ,38,12,15,11,46,50, ,6,7,6,25,29, ,6,8,5,21,21, ,-4,51
9,Athletic Bilbao, ,38,14,9,15,59,54, ,11,4,4,39,24, ,3,5,11,20,30, ,5,51
10,Malaga, ,38,15,6,17,40,48, ,8,4,7,19,24, ,7,2,10,21,24, ,-8,51
11,Atletico Madrid, ,38,13,11,14,40,34, ,11,6,2,28,13, ,2,5,12,12,21, ,6,50
12,Real Zaragoza, ,38,14,8,16,52,57, ,11,3,5,35,25, ,3,5,11,17,32, ,-5,50
13,Getafe, ,38,12,11,15,38,46, ,11,4,4,23,12, ,1,7,11,15,34, ,-8,47
14,Real Sociedad, ,38,13,8,17,47,56, ,9,4,6,21,24, ,4,4,11,26,32, ,-9,47
15,Osasuna, ,38,12,10,16,46,65, ,9,6,4,28,24, ,3,4,12,18,41, ,-19,46
16,Racing Santander, ,38,12,8,18,41,58, ,8,6,5,25,23, ,4,2,13,16,35, ,-17,44
17,Mallorca, ,38,10,9,19,42,63, ,6,5,8,28,31, ,4,4,11,14,32, ,-21,39
18,Levante, ,38,9,10,19,39,58, ,6,6,7,19,20, ,3,4,12,20,38, ,-19,37
19,Numancia, ,38,6,11,21,30,61, ,4,9,6,19,23, ,2,2,15,11,38, ,-31,29
20,Albacete, ,38,6,10,22,33,56, ,4,7,8,17,22, ,2,3,14,16,34, ,-23,28
