, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Borussia Dortmund, ,34,21,7,6,62,33, ,12,3,2,31,12, ,9,4,4,31,21, ,29,70
2,Bayer Leverkusen, ,34,21,6,7,77,38, ,14,1,2,46,13, ,7,5,5,31,25, ,39,69
3,Bayern Munich, ,34,20,8,6,65,25, ,12,5,0,42,10, ,8,3,6,23,15, ,40,68
4,Hertha Berlin, ,34,18,7,9,61,38, ,13,2,2,40,13, ,5,5,7,21,25, ,23,61
5,Schalke 04, ,34,18,7,9,52,36, ,13,2,2,38,14, ,5,5,7,14,22, ,16,61
6,Werder Bremen, ,34,17,5,12,54,43, ,11,2,4,29,21, ,6,3,8,25,22, ,11,56
7,Kaiserslautern, ,34,17,5,12,62,53, ,11,4,2,39,21, ,6,1,10,23,32, ,9,56
8,VfB Stuttgart, ,34,13,11,10,47,43, ,8,5,4,25,16, ,5,6,6,22,27, ,4,50
9,TSV 1860 Munich, ,34,15,5,14,59,59, ,8,3,6,31,33, ,7,2,8,28,26, ,0,50
10,VfL Wolfsburg, ,34,13,7,14,57,49, ,9,3,5,34,18, ,4,4,9,23,31, ,8,46
11,Hamburg SV, ,34,10,10,14,51,57, ,7,6,4,35,25, ,3,4,10,16,32, ,-6,40
12,Borussia Monchengladbach, ,34,9,12,13,41,53, ,6,5,6,21,21, ,3,7,7,20,32, ,-12,39
13,Energie Cottbus, ,34,9,8,17,36,60, ,8,4,5,27,21, ,1,4,12,9,39, ,-24,35
14,Hansa Rostock, ,34,9,7,18,35,54, ,6,6,5,20,18, ,3,1,13,15,36, ,-19,34
15,Nurnberg, ,34,10,4,20,34,57, ,7,3,7,21,23, ,3,1,13,13,34, ,-23,34
16,SC Freiburg, ,34,7,9,18,37,64, ,6,5,6,25,26, ,1,4,12,12,38, ,-27,30
17,FC Cologne, ,34,7,8,19,26,61, ,5,5,7,16,21, ,2,3,12,10,40, ,-35,29
18,St Pauli, ,34,4,10,20,37,70, ,4,4,9,19,28, ,0,6,11,18,42, ,-33,22
