, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Juventus, ,34,20,11,3,64,23, ,13,3,1,38,11, ,7,8,2,26,12, ,41,71
2,AS Roma, ,34,19,13,2,58,24, ,13,4,0,33,8, ,6,9,2,25,16, ,34,70
3,Internazionale, ,34,20,9,5,62,35, ,11,3,3,33,17, ,9,6,2,29,18, ,27,69
4,AC Milan, ,34,14,13,7,47,33, ,7,8,2,25,14, ,7,5,5,22,19, ,14,55
5,Chievo Verona, ,34,14,12,8,57,52, ,9,5,3,30,21, ,5,7,5,27,31, ,5,54
6,Lazio, ,34,14,11,9,50,37, ,10,6,1,38,18, ,4,5,8,12,19, ,13,53
7,Bologna, ,34,15,7,12,40,40, ,12,2,3,28,17, ,3,5,9,12,23, ,0,52
8,Perugia, ,34,13,7,14,38,46, ,10,4,3,24,15, ,3,3,11,14,31, ,-8,46
9,Atalanta, ,34,12,9,13,41,50, ,6,6,5,22,23, ,6,3,8,19,27, ,-9,45
10,Parma, ,34,12,8,14,43,47, ,8,6,3,22,15, ,4,2,11,21,32, ,-4,44
11,Torino, ,34,10,13,11,37,39, ,7,5,5,23,18, ,3,8,6,14,21, ,-2,43
12,Piacenza, ,34,11,9,14,49,43, ,8,1,8,30,18, ,3,8,6,19,25, ,6,42
13,Brescia, ,34,9,13,12,43,52, ,5,8,4,28,26, ,4,5,8,15,26, ,-9,40
14,Udinese, ,34,11,7,16,41,52, ,4,5,8,19,26, ,7,2,8,22,26, ,-11,40
15,Hellas Verona, ,34,11,6,17,41,53, ,9,3,5,23,18, ,2,3,12,18,35, ,-12,39
16,Lecce, ,34,6,10,18,36,56, ,3,6,8,19,24, ,3,4,10,17,32, ,-20,28
17,Fiorentina, ,34,5,7,22,29,63, ,3,6,8,16,23, ,2,1,14,13,40, ,-34,22
18,Venezia, ,34,3,9,22,30,61, ,2,6,9,17,26, ,1,3,13,13,35, ,-31,18
