, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Bayern Munich, ,34,24,5,5,75,33, ,14,2,1,44,14, ,10,3,4,31,19, ,42,77
2,Schalke 04, ,34,20,3,11,56,46, ,11,2,4,33,24, ,9,1,7,23,22, ,10,63
3,Werder Bremen, ,34,18,5,11,68,37, ,9,4,4,33,15, ,9,1,7,35,22, ,31,59
4,Hertha Berlin, ,34,15,13,6,59,31, ,8,8,1,34,13, ,7,5,5,25,18, ,28,58
5,VfB Stuttgart, ,34,17,7,10,54,40, ,12,2,3,34,15, ,5,5,7,20,25, ,14,58
6,Bayer Leverkusen, ,34,16,9,9,65,44, ,12,3,2,42,18, ,4,6,7,23,26, ,21,57
7,Borussia Dortmund, ,34,15,10,9,47,44, ,8,5,4,24,18, ,7,5,5,23,26, ,3,55
8,Hamburg SV, ,34,16,3,15,55,50, ,9,1,7,27,22, ,7,2,8,28,28, ,5,51
9,VfL Wolfsburg, ,34,15,3,16,49,51, ,10,1,6,35,20, ,5,2,10,14,31, ,-2,48
10,Hannover 96, ,34,13,6,15,34,36, ,8,2,7,21,19, ,5,4,8,13,17, ,-2,45
11,Mainz, ,34,12,7,15,50,55, ,9,3,5,28,21, ,3,4,10,22,34, ,-5,43
12,Kaiserslautern, ,34,12,6,16,43,52, ,8,2,7,20,21, ,4,4,9,23,31, ,-9,42
13,Arminia Bielefeld, ,34,11,7,16,37,49, ,7,3,7,21,21, ,4,4,9,16,28, ,-12,40
14,Nurnberg, ,34,10,8,16,55,63, ,4,6,7,25,25, ,6,2,9,30,38, ,-8,38
15,Borussia Monchengladbach, ,34,8,12,14,35,51, ,8,5,4,26,21, ,0,7,10,9,30, ,-16,36
16,VfL Bochum, ,34,9,8,17,47,68, ,6,5,6,30,29, ,3,3,11,17,39, ,-21,35
17,Hansa Rostock, ,34,7,9,18,31,65, ,4,5,8,17,31, ,3,4,10,14,34, ,-34,30
18,SC Freiburg, ,34,3,9,22,30,75, ,2,6,9,18,31, ,1,3,13,12,44, ,-45,18
