Eastern Conference, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,DC United, ,30,16,7,7,56,34, ,10,3,2,37,22, ,6,4,5,19,12, ,22,55
2,New England Revolution, ,30,14,8,8,51,43, ,8,4,3,32,21, ,6,4,5,19,22, ,8,50
3,New York Red Bulls, ,30,12,7,11,47,45, ,9,3,3,30,16, ,3,4,8,17,29, ,2,43
4,Sporting Kansas City, ,30,11,7,12,45,45, ,7,3,5,22,18, ,4,4,7,23,27, ,0,40
5,Chicago Fire, ,30,10,10,10,31,36, ,6,6,3,16,15, ,4,4,7,15,21, ,-5,40
6,Columbus Crew, ,30,9,10,11,39,44, ,5,5,5,17,17, ,4,5,6,22,27, ,-5,37
7,Toronto FC, ,30,6,7,17,25,49, ,5,3,7,17,18, ,1,4,10,8,31, ,-24,25
Western Conference, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Chivas USA, ,30,15,8,7,46,28, ,10,4,1,28,8, ,5,4,6,18,20, ,18,53
2,Houston Dynamo, ,30,15,7,8,43,23, ,8,4,3,22,11, ,7,3,5,21,12, ,20,52
3,FC Dallas, ,30,13,5,12,37,44, ,7,3,5,17,17, ,6,2,7,20,27, ,-7,44
4,Colorado Rapids, ,30,9,8,13,29,34, ,6,5,4,16,11, ,3,3,9,13,23, ,-5,35
5,Los Angeles Galaxy, ,30,9,7,14,38,48, ,6,3,6,25,25, ,3,4,8,13,23, ,-10,34
6,Real Salt Lake, ,30,6,9,15,31,45, ,4,4,7,18,22, ,2,5,8,13,23, ,-14,27
