, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Valencia, ,38,23,8,7,71,27, ,12,3,4,38,16, ,11,5,3,33,11, ,44,77
2,Barcelona, ,38,21,9,8,63,39, ,10,6,3,33,14, ,11,3,5,30,25, ,24,72
3,Deportivo La Coruña, ,38,21,8,9,60,34, ,13,3,3,36,15, ,8,5,6,24,19, ,26,71
4,Real Madrid, ,38,21,7,10,72,54, ,13,2,4,43,26, ,8,5,6,29,28, ,18,70
5,Athletic Bilbao, ,38,15,11,12,53,49, ,10,5,4,32,20, ,5,6,8,21,29, ,4,56
6,Sevilla FC, ,38,15,10,13,56,45, ,12,2,5,30,15, ,3,8,8,26,30, ,11,55
7,Atletico Madrid, ,38,15,10,13,51,53, ,11,5,3,30,17, ,4,5,10,21,36, ,-2,55
8,Villarreal, ,38,15,9,14,47,49, ,10,5,4,28,19, ,5,4,10,19,30, ,-2,54
9,Real Betis, ,38,13,13,12,46,43, ,6,9,4,22,20, ,7,4,8,24,23, ,3,52
10,Malaga, ,38,15,6,17,50,55, ,10,4,5,35,27, ,5,2,12,15,28, ,-5,51
11,Mallorca, ,38,15,6,17,54,66, ,7,5,7,29,32, ,8,1,10,25,34, ,-12,51
12,Real Zaragoza, ,38,13,9,16,46,55, ,7,7,5,25,20, ,6,2,11,21,35, ,-9,48
13,Osasuna, ,38,11,15,12,38,37, ,6,7,6,24,24, ,5,8,6,14,13, ,1,48
14,Albacete, ,38,13,8,17,40,48, ,9,2,8,25,21, ,4,6,9,15,27, ,-8,47
15,Real Sociedad, ,38,11,13,14,49,53, ,7,7,5,24,22, ,4,6,9,25,31, ,-4,46
16,Espanyol, ,38,13,4,21,48,64, ,8,2,9,24,26, ,5,2,12,24,38, ,-16,43
17,Racing Santander, ,38,11,10,17,48,63, ,5,4,10,23,32, ,6,6,7,25,31, ,-15,42
18,Real Valladolid, ,38,10,11,17,46,56, ,7,6,6,25,23, ,3,5,11,21,33, ,-10,41
19,Celta Vigo, ,38,9,12,17,48,68, ,4,4,11,16,38, ,5,8,6,32,30, ,-20,39
20,Murcia, ,38,5,11,22,29,57, ,5,7,7,21,25, ,0,4,15,8,32, ,-28,26
