Eastern Conference, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Columbus Crew, ,30,17,6,7,50,36, ,11,2,2,30,15, ,6,4,5,20,21, ,14,57
2,Chicago Fire, ,30,13,7,10,44,33, ,7,3,5,23,17, ,6,4,5,21,16, ,11,46
3,New England Revolution, ,30,12,7,11,40,43, ,6,4,5,24,20, ,6,3,6,16,23, ,-3,43
4,Sporting Kansas City, ,30,11,9,10,37,39, ,9,4,2,22,15, ,2,5,8,15,24, ,-2,42
5,New York Red Bulls, ,30,10,9,11,42,48, ,9,3,3,30,20, ,1,6,8,12,28, ,-6,39
6,DC United, ,30,11,4,15,43,51, ,9,2,4,32,19, ,2,2,11,11,32, ,-8,37
7,Toronto FC, ,30,9,8,13,34,43, ,6,7,2,17,12, ,3,1,11,17,31, ,-9,35
Western Conference, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Houston Dynamo, ,30,13,12,5,45,32, ,10,4,1,30,14, ,3,8,4,15,18, ,13,51
2,Chivas USA, ,30,12,7,11,40,41, ,7,4,4,21,15, ,5,3,7,19,26, ,-1,43
3,Real Salt Lake, ,30,10,10,10,40,39, ,8,6,1,24,10, ,2,4,9,16,29, ,1,40
4,Colorado Rapids, ,30,11,5,14,44,45, ,7,3,5,22,14, ,4,2,9,22,31, ,-1,38
5,FC Dallas, ,30,8,12,10,45,41, ,5,6,4,23,19, ,3,6,6,22,22, ,4,36
6,San Jose Earthquakes, ,30,8,9,13,32,38, ,6,4,5,22,19, ,2,5,8,10,19, ,-6,33
7,Los Angeles Galaxy, ,30,8,9,13,55,62, ,6,5,4,35,27, ,2,4,9,20,35, ,-7,33
