Eastern Conference, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Columbus Crew, ,28,11,5,12,44,43, ,11,1,0,25,8, ,0,4,12,19,35, ,1,38
2,New England Revolution, ,28,12,2,14,49,49, ,10,2,0,27,7, ,2,0,14,22,42, ,0,38
3,Chicago Fire, ,28,11,4,13,43,38, ,10,1,2,32,16, ,1,3,11,11,22, ,5,37
4,New York Red Bulls, ,28,11,2,15,41,47, ,11,0,2,30,13, ,0,2,13,11,34, ,-6,35
5,DC United, ,28,9,5,14,31,40, ,9,3,1,23,13, ,0,2,13,8,27, ,-9,32
Western Conference, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Los Angeles Galaxy, ,28,16,3,9,44,33, ,15,1,0,32,9, ,1,2,9,12,24, ,11,51
2,San Jose Earthquakes, ,28,14,3,11,45,35, ,13,1,0,34,10, ,1,2,11,11,25, ,10,45
3,FC Dallas, ,28,12,7,9,44,43, ,10,5,1,32,18, ,2,2,8,12,25, ,1,43
4,Colorado Rapids, ,28,13,4,11,43,48, ,12,2,1,33,16, ,1,2,10,10,32, ,-5,43
5,Sporting Kansas City, ,28,9,9,10,37,45, ,9,6,1,27,16, ,0,3,9,10,29, ,-8,36
