, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,VfB Stuttgart, ,34,21,7,6,61,37, ,12,3,2,30,13, ,9,4,4,31,24, ,24,70
2,Schalke 04, ,34,21,5,8,53,32, ,13,2,2,30,11, ,8,3,6,23,21, ,21,68
3,Werder Bremen, ,34,20,6,8,76,40, ,11,1,5,33,18, ,9,5,3,43,22, ,36,66
4,Bayern Munich, ,34,18,6,10,55,40, ,11,4,2,29,14, ,7,2,8,26,26, ,15,60
5,Bayer Leverkusen, ,34,15,6,13,54,49, ,8,3,6,28,23, ,7,3,7,26,26, ,5,51
6,Nurnberg, ,34,11,15,8,43,32, ,8,7,2,26,16, ,3,8,6,17,16, ,11,48
7,Hamburg SV, ,34,10,15,9,43,37, ,4,9,4,22,19, ,6,6,5,21,18, ,6,45
8,VfL Bochum, ,34,13,6,15,49,50, ,7,1,9,23,30, ,6,5,6,26,20, ,-1,45
9,Borussia Dortmund, ,34,12,8,14,41,43, ,6,6,5,19,17, ,6,2,9,22,26, ,-2,44
10,Hertha Berlin, ,34,12,8,14,50,55, ,8,3,6,29,25, ,4,5,8,21,30, ,-5,44
11,Hannover 96, ,34,12,8,14,41,50, ,5,6,6,23,24, ,7,2,8,18,26, ,-9,44
12,Arminia Bielefeld, ,34,11,9,14,47,49, ,8,4,5,29,24, ,3,5,9,18,25, ,-2,42
13,Energie Cottbus, ,34,11,8,15,38,49, ,6,5,6,21,22, ,5,3,9,17,27, ,-11,41
14,Eintracht Frankfurt, ,34,9,13,12,46,58, ,5,5,7,21,30, ,4,8,5,25,28, ,-12,40
15,VfL Wolfsburg, ,34,8,13,13,37,45, ,6,6,5,22,22, ,2,7,8,15,23, ,-8,37
16,Mainz, ,34,8,10,16,34,57, ,6,4,7,20,28, ,2,6,9,14,29, ,-23,34
17,Alemannia Aachen, ,34,9,7,18,46,70, ,5,4,8,28,37, ,4,3,10,18,33, ,-24,34
18,Borussia Monchengladbach, ,34,6,8,20,23,44, ,5,6,6,15,16, ,1,2,14,8,28, ,-21,26
