, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Montpellier, ,38,25,7,6,68,34, ,16,2,1,37,11, ,9,5,5,31,23, ,34,82
2,Paris Saint-Germain, ,38,23,10,5,75,41, ,14,3,2,42,16, ,9,7,3,33,25, ,34,79
3,Lille, ,38,21,11,6,72,39, ,12,5,2,48,23, ,9,6,4,24,16, ,33,74
4,Lyon, ,38,19,7,12,64,51, ,13,3,3,44,27, ,6,4,9,20,24, ,13,64
5,Bordeaux, ,38,16,13,9,53,41, ,9,8,2,25,14, ,7,5,7,28,27, ,12,61
6,Stade Rennes, ,38,17,9,12,53,44, ,8,8,3,30,19, ,9,1,9,23,25, ,9,60
7,St Etienne, ,38,16,9,13,49,45, ,9,4,6,27,20, ,7,5,7,22,25, ,4,57
8,Toulouse, ,38,15,11,12,37,34, ,10,5,4,20,11, ,5,6,8,17,23, ,3,56
9,Evian Thonon Gaillard, ,38,13,11,14,54,55, ,9,2,8,29,29, ,4,9,6,25,26, ,-1,50
10,Marseille, ,38,12,12,14,45,41, ,8,7,4,26,15, ,4,5,10,19,26, ,4,48
11,AS Nancy Lorraine, ,38,11,12,15,38,48, ,6,9,4,24,24, ,5,3,11,14,24, ,-10,45
12,Valenciennes, ,38,12,7,19,40,50, ,11,3,5,29,16, ,1,4,14,11,34, ,-10,43
13,Nice, ,38,10,12,16,39,46, ,7,8,4,21,13, ,3,4,12,18,33, ,-7,42
14,Sochaux, ,38,11,9,18,40,60, ,8,4,7,21,24, ,3,5,11,19,36, ,-20,42
15,Brest, ,38,8,17,13,31,38, ,7,8,4,22,17, ,1,9,9,9,21, ,-7,41
16,AC Ajaccio, ,38,9,14,15,40,61, ,6,8,5,22,24, ,3,6,10,18,37, ,-21,41
17,Lorient, ,38,9,12,17,35,49, ,8,6,5,20,14, ,1,6,12,15,35, ,-14,39
18,Caen, ,38,9,11,18,39,59, ,6,5,8,20,25, ,3,6,10,19,34, ,-20,38
19,Dijon FCO, ,38,9,9,20,38,63, ,6,4,9,23,26, ,3,5,11,15,37, ,-25,36
20,AJ Auxerre, ,38,7,13,18,46,57, ,6,6,7,30,28, ,1,7,11,16,29, ,-11,34
