Eastern Conference, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Chicago Fire, ,30,15,8,7,53,43, ,10,4,1,31,12, ,5,4,6,22,31, ,10,53
2,New England Revolution, ,30,12,9,9,55,47, ,7,4,4,32,23, ,5,5,5,23,24, ,8,45
3,New York Red Bulls, ,30,11,9,10,40,40, ,5,4,6,17,19, ,6,5,4,23,21, ,0,42
4,DC United, ,30,10,9,11,38,36, ,6,6,3,20,14, ,4,3,8,18,22, ,2,39
5,Columbus Crew, ,30,10,8,12,44,44, ,6,6,3,24,15, ,4,2,9,20,29, ,0,38
Western Conference, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,San Jose Earthquakes, ,30,14,9,7,45,35, ,7,4,4,22,19, ,7,5,3,23,16, ,10,51
2,Sporting Kansas City, ,30,11,9,10,48,44, ,8,3,4,32,25, ,3,6,6,16,19, ,4,42
3,Colorado Rapids, ,30,11,7,12,40,45, ,8,5,2,21,13, ,3,2,10,19,32, ,-5,40
4,Los Angeles Galaxy, ,30,9,9,12,35,35, ,9,3,3,25,14, ,0,6,9,10,21, ,0,36
5,FC Dallas, ,30,6,5,19,35,64, ,5,2,8,24,31, ,1,3,11,11,33, ,-29,23
