, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Bayern Munich, ,34,23,6,5,70,25, ,13,3,1,37,12, ,10,3,4,33,13, ,45,75
2,VfB Stuttgart, ,34,17,8,9,53,39, ,9,5,3,30,14, ,8,3,6,23,25, ,14,59
3,Borussia Dortmund, ,34,15,13,6,51,27, ,10,6,1,31,13, ,5,7,5,20,14, ,24,58
4,Hamburg SV, ,34,15,11,8,46,36, ,13,3,1,30,11, ,2,8,7,16,25, ,10,56
5,Hertha Berlin, ,34,16,6,12,52,43, ,10,4,3,35,19, ,6,2,9,17,24, ,9,54
6,Werder Bremen, ,34,16,4,14,51,50, ,10,2,5,34,23, ,6,2,9,17,27, ,1,52
7,Schalke 04, ,34,12,13,9,46,40, ,6,8,3,23,16, ,6,5,6,23,24, ,6,49
8,VfL Wolfsburg, ,34,13,7,14,39,42, ,11,2,4,26,15, ,2,5,10,13,27, ,-3,46
9,VfL Bochum, ,34,12,9,13,55,56, ,6,5,6,26,25, ,6,4,7,29,31, ,-1,45
10,TSV 1860 Munich, ,34,12,9,13,44,52, ,6,5,6,22,22, ,6,4,7,22,30, ,-8,45
11,Hannover 96, ,34,12,7,15,47,57, ,4,6,7,28,33, ,8,1,8,19,24, ,-10,43
12,Borussia Monchengladbach, ,34,11,9,14,43,45, ,10,5,2,31,11, ,1,4,12,12,34, ,-2,42
13,Hansa Rostock, ,34,11,8,15,35,41, ,6,5,6,20,18, ,5,3,9,15,23, ,-6,41
14,Kaiserslautern, ,34,10,10,14,40,42, ,9,3,5,23,12, ,1,7,9,17,30, ,-2,40
15,Bayer Leverkusen, ,34,11,7,16,47,56, ,6,3,8,27,28, ,5,4,8,20,28, ,-9,40
16,Arminia Bielefeld, ,34,8,12,14,35,46, ,7,5,5,23,16, ,1,7,9,12,30, ,-11,36
17,Nurnberg, ,34,8,6,20,33,60, ,4,4,9,16,24, ,4,2,11,17,36, ,-27,30
18,Energie Cottbus, ,34,7,9,18,34,64, ,4,3,10,17,30, ,3,6,8,17,34, ,-30,30
