, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,AC Milan, ,38,24,10,4,65,24, ,13,4,2,42,12, ,11,6,2,23,12, ,41,82
2,Internazionale, ,38,23,7,8,69,42, ,15,3,1,48,20, ,8,4,7,21,22, ,27,76
3,Napoli, ,38,21,7,10,59,39, ,12,4,3,33,15, ,9,3,7,26,24, ,20,70
4,Udinese, ,38,20,6,12,65,43, ,11,4,4,27,16, ,9,2,8,38,27, ,22,66
5,Lazio, ,38,20,6,12,55,39, ,13,3,3,31,15, ,7,3,9,24,24, ,16,66
6,AS Roma, ,38,18,9,11,59,52, ,11,5,3,31,18, ,7,4,8,28,34, ,7,63
7,Juventus, ,38,15,13,10,57,47, ,8,6,5,35,31, ,7,7,5,22,16, ,10,58
8,Palermo, ,38,17,5,16,58,63, ,11,3,5,33,28, ,6,2,11,25,35, ,-5,56
9,Fiorentina, ,38,12,15,11,49,44, ,9,6,4,28,18, ,3,9,7,21,26, ,5,51
10,Genoa, ,38,14,9,15,45,47, ,10,3,6,29,24, ,4,6,9,16,23, ,-2,51
11,Chievo Verona, ,38,11,13,14,38,40, ,6,8,5,15,13, ,5,5,9,23,27, ,-2,46
12,Parma, ,38,11,13,14,39,47, ,7,7,5,21,16, ,4,6,9,18,31, ,-8,46
13,Catania, ,38,12,10,16,40,52, ,11,4,4,27,19, ,1,6,12,13,33, ,-12,46
14,Cagliari, ,38,12,9,17,44,51, ,8,3,8,27,23, ,4,6,9,17,28, ,-7,45
15,Cesena, ,38,11,10,17,38,50, ,7,5,7,17,21, ,4,5,10,21,29, ,-12,43
16,Bologna, ,38,11,12,15,35,52, ,7,7,5,17,20, ,4,5,10,18,32, ,-17,42
17,Lecce, ,38,11,8,19,46,66, ,7,5,7,28,29, ,4,3,12,18,37, ,-20,41
18,Sampdoria, ,38,8,12,18,33,49, ,5,6,8,21,21, ,3,6,10,12,28, ,-16,36
19,Brescia, ,38,7,11,20,34,52, ,6,5,8,22,24, ,1,6,12,12,28, ,-18,32
20,Bari, ,38,5,9,24,27,56, ,2,6,11,12,28, ,3,3,13,15,28, ,-29,24
