, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Lyon, ,38,22,13,3,56,22, ,13,5,1,33,10, ,9,8,2,23,12, ,34,79
2,Lille, ,38,18,13,7,52,29, ,11,6,2,31,11, ,7,7,5,21,18, ,23,67
3,AS Monaco, ,38,15,18,5,52,35, ,11,6,2,38,21, ,4,12,3,14,14, ,17,63
4,Stade Rennes, ,38,15,10,13,49,42, ,13,4,2,35,12, ,2,6,11,14,30, ,7,55
5,Marseille, ,38,15,10,13,47,42, ,9,4,6,26,19, ,6,6,7,21,23, ,5,55
6,St Etienne, ,38,12,17,9,47,34, ,9,8,2,25,7, ,3,9,7,22,27, ,13,53
7,Lens, ,38,13,13,12,45,39, ,10,6,3,30,15, ,3,7,9,15,24, ,6,52
8,AJ Auxerre, ,38,14,10,14,48,47, ,10,7,2,33,19, ,4,3,12,15,28, ,1,52
9,Paris Saint-Germain, ,38,12,15,11,40,41, ,9,8,2,24,15, ,3,7,9,16,26, ,-1,51
10,Sochaux, ,38,13,11,14,42,41, ,10,3,6,25,16, ,3,8,8,17,25, ,1,50
11,Strasbourg, ,38,12,12,14,42,43, ,10,5,4,29,17, ,2,7,10,13,26, ,-1,48
12,Nice, ,38,10,16,12,38,45, ,7,10,2,22,13, ,3,6,10,16,32, ,-7,46
13,Toulouse, ,38,12,10,16,36,43, ,9,4,6,20,19, ,3,6,10,16,24, ,-7,46
14,AC Ajaccio, ,38,10,15,13,36,40, ,7,10,2,24,15, ,3,5,11,12,25, ,-4,45
15,Bordeaux, ,38,8,20,10,37,41, ,5,11,3,24,18, ,3,9,7,13,23, ,-4,44
16,Metz, ,38,10,14,14,33,45, ,7,9,3,22,15, ,3,5,11,11,30, ,-12,44
17,Nantes, ,38,10,13,15,33,38, ,7,9,3,21,16, ,3,4,12,12,22, ,-5,43
18,Caen, ,38,10,12,16,36,60, ,5,8,6,15,18, ,5,4,10,21,42, ,-24,42
19,Bastia, ,38,11,8,19,32,48, ,10,4,5,24,19, ,1,4,14,8,29, ,-16,41
20,FC Istres, ,38,6,14,18,25,51, ,5,5,9,11,19, ,1,9,9,14,32, ,-26,32
