, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Paris Saint-Germain, ,38,27,8,3,84,23, ,15,3,1,51,7, ,12,5,2,33,16, ,61,89
2,AS Monaco, ,38,23,11,4,63,31, ,12,6,1,32,14, ,11,5,3,31,17, ,32,80
3,Lille, ,38,20,11,7,46,26, ,13,3,3,25,10, ,7,8,4,21,16, ,20,71
4,St Etienne, ,38,20,9,9,56,34, ,12,5,2,36,15, ,8,4,7,20,19, ,22,69
5,Lyon, ,38,17,10,11,56,44, ,8,7,4,30,15, ,9,3,7,26,29, ,12,61
6,Marseille, ,38,16,12,10,53,40, ,10,3,6,30,20, ,6,9,4,23,20, ,13,60
7,Bordeaux, ,38,13,14,11,49,43, ,10,4,5,31,20, ,3,10,6,18,23, ,6,53
8,Lorient, ,38,13,10,15,48,53, ,8,7,4,29,25, ,5,3,11,19,28, ,-5,49
9,Toulouse, ,38,12,13,13,46,53, ,5,9,5,23,26, ,7,4,8,23,27, ,-7,49
10,Bastia, ,38,13,10,15,42,56, ,10,5,4,24,18, ,3,5,11,18,38, ,-14,49
11,Stade de Reims, ,38,12,12,14,44,52, ,7,6,6,26,26, ,5,6,8,18,26, ,-8,48
12,Stade Rennes, ,38,11,13,14,47,45, ,5,8,6,24,23, ,6,5,8,23,22, ,2,46
13,Nantes, ,38,12,10,16,38,43, ,7,4,8,19,19, ,5,6,8,19,24, ,-5,46
14,Evian Thonon Gaillard, ,38,11,11,16,39,51, ,7,6,6,25,24, ,4,5,10,14,27, ,-12,44
15,Montpellier, ,38,8,18,12,45,53, ,5,9,5,22,19, ,3,9,7,23,34, ,-8,42
16,Guingamp, ,38,11,9,18,34,42, ,8,4,7,21,16, ,3,5,11,13,26, ,-8,42
17,Nice, ,38,12,6,20,30,44, ,10,2,7,22,16, ,2,4,13,8,28, ,-14,42
18,Sochaux, ,38,10,10,18,37,61, ,8,6,5,20,18, ,2,4,13,17,43, ,-24,40
19,Valenciennes, ,38,7,8,23,37,65, ,4,5,10,23,31, ,3,3,13,14,34, ,-28,29
20,AC Ajaccio, ,38,4,11,23,37,72, ,3,6,10,23,33, ,1,5,13,14,39, ,-35,23
