, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Barcelona, ,38,25,7,6,80,35, ,15,3,1,45,15, ,10,4,5,35,20, ,45,82
2,Real Madrid, ,38,20,10,8,70,40, ,11,4,4,40,21, ,9,6,4,30,19, ,30,70
3,Valencia, ,38,19,12,7,58,33, ,10,8,1,34,16, ,9,4,6,24,17, ,25,69
4,Osasuna, ,38,21,5,12,49,43, ,12,3,4,28,20, ,9,2,8,21,23, ,6,68
5,Sevilla FC, ,38,20,8,10,54,39, ,12,5,2,29,15, ,8,3,8,25,24, ,15,68
6,Celta Vigo, ,38,20,4,14,45,33, ,13,0,6,25,13, ,7,4,8,20,20, ,12,64
7,Villarreal, ,38,14,15,9,50,39, ,9,6,4,28,18, ,5,9,5,22,21, ,11,57
8,Deportivo La Coruña, ,38,15,10,13,47,45, ,6,5,8,19,22, ,9,5,5,28,23, ,2,55
9,Getafe, ,38,15,9,14,54,49, ,8,7,4,32,24, ,7,2,10,22,25, ,5,54
10,Atletico Madrid, ,38,13,13,12,45,37, ,7,6,6,21,18, ,6,7,6,24,19, ,8,52
11,Real Zaragoza, ,38,10,16,12,46,51, ,6,6,7,26,26, ,4,10,5,20,25, ,-5,46
12,Athletic Bilbao, ,38,11,12,15,40,46, ,7,6,6,19,18, ,4,6,9,21,28, ,-6,45
13,Mallorca, ,38,10,13,15,37,51, ,6,8,5,21,21, ,4,5,10,16,30, ,-14,43
14,Real Betis, ,38,10,12,16,34,51, ,8,5,6,19,19, ,2,7,10,15,32, ,-17,42
15,Espanyol, ,38,10,11,17,36,56, ,7,4,8,26,24, ,3,7,9,10,32, ,-20,41
16,Real Sociedad, ,38,11,7,20,48,65, ,8,4,7,31,27, ,3,3,13,17,38, ,-17,40
17,Racing Santander, ,38,9,13,16,36,49, ,4,6,9,18,26, ,5,7,7,18,23, ,-13,40
18,Alavés, ,38,9,12,17,35,54, ,6,6,7,20,24, ,3,6,10,15,30, ,-19,39
19,Cádiz, ,38,8,12,18,36,52, ,4,8,7,22,25, ,4,4,11,14,27, ,-16,36
20,Malaga, ,38,5,9,24,36,68, ,3,5,11,16,25, ,2,4,13,20,43, ,-32,24
