, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Juventus, ,38,26,8,4,67,27, ,15,2,2,38,13, ,11,6,2,29,14, ,40,86
2,AC Milan, ,38,23,10,5,63,28, ,11,5,3,38,17, ,12,5,2,25,11, ,35,79
3,Internazionale, ,38,18,18,2,65,37, ,11,7,1,34,16, ,7,11,1,31,21, ,28,72
4,Udinese, ,38,17,11,10,56,40, ,8,7,4,29,18, ,9,4,6,27,22, ,16,62
5,Sampdoria, ,38,17,10,11,42,29, ,10,3,6,21,13, ,7,7,5,21,16, ,13,61
6,Palermo, ,38,12,17,9,48,44, ,9,7,3,28,22, ,3,10,6,20,22, ,4,53
7,Messina, ,38,12,12,14,44,52, ,10,7,2,26,19, ,2,5,12,18,33, ,-8,48
8,AS Roma, ,38,11,12,15,55,58, ,6,8,5,31,26, ,5,4,10,24,32, ,-3,45
9,Livorno, ,38,11,12,15,49,60, ,9,5,5,28,25, ,2,7,10,21,35, ,-11,45
10,Lecce, ,38,10,14,14,66,73, ,8,8,3,40,30, ,2,6,11,26,43, ,-7,44
11,Reggina, ,38,10,14,14,36,45, ,7,6,6,21,23, ,3,8,8,15,22, ,-9,44
12,Cagliari, ,38,10,14,14,51,60, ,9,9,1,30,17, ,1,5,13,21,43, ,-9,44
13,Lazio, ,38,11,11,16,48,53, ,6,6,7,26,24, ,5,5,9,22,29, ,-5,44
14,Siena, ,38,9,16,13,44,55, ,5,8,6,21,27, ,4,8,7,23,28, ,-11,43
15,Chievo Verona, ,38,11,10,17,32,49, ,8,5,6,20,18, ,3,5,11,12,31, ,-17,43
16,Fiorentina, ,38,9,15,14,42,50, ,7,7,5,29,22, ,2,8,9,13,28, ,-8,42
17,Bologna, ,38,9,15,14,33,36, ,6,7,6,20,17, ,3,8,8,13,19, ,-3,42
18,Parma, ,38,10,12,16,48,65, ,8,9,2,33,25, ,2,3,14,15,40, ,-17,42
19,Brescia, ,38,11,8,19,37,54, ,6,3,10,15,22, ,5,5,9,22,32, ,-17,41
20,Atalanta, ,38,8,11,19,34,45, ,7,6,6,21,17, ,1,5,13,13,28, ,-11,35
