, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Paris Saint-Germain, ,38,25,8,5,69,23, ,13,4,2,34,10, ,12,4,3,35,13, ,46,83
2,Marseille, ,38,21,8,9,42,36, ,12,4,3,25,18, ,9,4,6,17,18, ,6,71
3,Lyon, ,38,19,10,9,61,38, ,11,4,4,34,17, ,8,6,5,27,21, ,23,67
4,Nice, ,38,18,10,10,57,46, ,11,5,3,35,17, ,7,5,7,22,29, ,11,64
5,St Etienne, ,38,16,15,7,60,32, ,11,4,4,36,13, ,5,11,3,24,19, ,28,63
6,Lille, ,38,16,14,8,59,40, ,9,7,3,32,16, ,7,7,5,27,24, ,19,62
7,Bordeaux, ,38,13,16,9,40,34, ,8,8,3,22,19, ,5,8,6,18,15, ,6,55
8,Lorient, ,38,14,11,13,57,58, ,10,6,3,38,25, ,4,5,10,19,33, ,-1,53
9,Montpellier, ,38,15,7,16,54,51, ,11,5,3,33,14, ,4,2,13,21,37, ,3,52
10,Toulouse, ,38,13,12,13,49,47, ,7,7,5,30,26, ,6,5,8,19,21, ,2,51
11,Valenciennes, ,38,12,12,14,49,53, ,9,6,4,32,21, ,3,6,10,17,32, ,-4,48
12,Bastia, ,38,13,8,17,50,66, ,9,3,7,30,26, ,4,5,10,20,40, ,-16,47
13,Stade Rennes, ,38,13,7,18,48,59, ,6,5,8,23,27, ,7,2,10,25,32, ,-11,46
14,Stade de Reims, ,38,10,13,15,33,42, ,8,7,4,20,13, ,2,6,11,13,29, ,-9,43
15,Sochaux, ,38,10,11,17,41,57, ,6,5,8,25,26, ,4,6,9,16,31, ,-16,41
16,Evian Thonon Gaillard, ,38,10,10,18,46,53, ,6,7,6,31,25, ,4,3,12,15,28, ,-7,40
17,AC Ajaccio, ,38,9,15,14,39,51, ,7,5,7,19,20, ,2,10,7,20,31, ,-12,40
18,AS Nancy Lorraine, ,38,9,11,18,38,58, ,5,5,9,17,26, ,4,6,9,21,32, ,-20,38
19,Troyes, ,38,8,13,17,43,61, ,6,8,5,25,24, ,2,5,12,18,37, ,-18,37
20,Brest, ,38,8,5,25,32,62, ,5,3,11,17,26, ,3,2,14,15,36, ,-30,29
