Eastern Conference, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Los Angeles Galaxy, ,17,8,7,2,22,14, ,4,4,0,13,5, ,4,3,2,9,9, ,8,31
1,New York Red Bulls, ,14,5,7,2,21,13, ,4,3,1,13,8, ,1,4,1,8,5, ,8,22
2,FC Dallas, ,15,7,4,4,18,16, ,5,2,2,11,8, ,2,2,2,7,8, ,2,25
2,Philadelphia Union, ,13,6,4,3,16,11, ,4,3,0,8,4, ,2,1,3,8,7, ,5,22
3,New York Red Bulls, ,14,5,7,2,21,13, ,4,3,1,13,8, ,1,4,1,8,5, ,8,22
3,Houston Dynamo, ,15,4,6,5,19,18, ,4,2,2,15,10, ,0,4,3,4,8, ,1,18
4,Columbus Crew, ,14,4,6,4,14,16, ,4,3,1,11,7, ,0,3,3,3,9, ,-2,18
4,Philadelphia Union, ,13,6,4,3,16,11, ,4,3,0,8,4, ,2,1,3,8,7, ,5,22
5,DC United, ,13,4,4,5,18,24, ,2,3,2,9,12, ,2,1,3,9,12, ,-6,16
5,Seattle Sounders FC, ,16,5,7,4,18,15, ,3,3,2,10,7, ,2,4,2,8,8, ,3,22
6,Colorado Rapids, ,15,5,7,3,17,14, ,2,4,1,10,6, ,3,3,2,7,8, ,3,22
6,Toronto FC, ,16,2,9,5,15,25, ,2,5,2,10,14, ,0,4,3,5,11, ,-10,15
7,Chicago Fire, ,14,2,8,4,16,19, ,1,4,1,7,7, ,1,4,3,9,12, ,-3,14
7,Real Salt Lake, ,12,6,3,3,14,7, ,4,1,1,9,3, ,2,2,2,5,4, ,7,21
8,New England Revolution, ,15,3,5,7,11,18, ,3,3,2,7,7, ,0,2,5,4,11, ,-7,14
8,San Jose Earthquakes, ,13,5,4,4,20,16, ,3,2,2,11,7, ,2,2,2,9,9, ,4,19
9,Sporting Kansas City, ,12,2,4,6,16,20, ,0,1,0,0,0, ,2,3,6,16,20, ,-4,10
9,Houston Dynamo, ,15,4,6,5,19,18, ,4,2,2,15,10, ,0,4,3,4,8, ,1,18
10,Columbus Crew, ,14,4,6,4,14,16, ,4,3,1,11,7, ,0,3,3,3,9, ,-2,18
11,Chivas USA, ,14,4,5,5,17,16, ,2,2,3,7,6, ,2,3,2,10,10, ,1,17
12,Portland Timbers, ,13,5,2,6,15,19, ,5,0,2,12,8, ,0,2,4,3,11, ,-4,17
13,DC United, ,13,4,4,5,18,24, ,2,3,2,9,12, ,2,1,3,9,12, ,-6,16
14,Toronto FC, ,16,2,9,5,15,25, ,2,5,2,10,14, ,0,4,3,5,11, ,-10,15
15,Chicago Fire, ,14,2,8,4,16,19, ,1,4,1,7,7, ,1,4,3,9,12, ,-3,14
16,New England Revolution, ,15,3,5,7,11,18, ,3,3,2,7,7, ,0,2,5,4,11, ,-7,14
17,Vancouver Whitecaps, ,15,1,8,6,16,22, ,1,5,1,11,10, ,0,3,5,5,12, ,-6,11
18,Sporting Kansas City, ,12,2,4,6,16,20, ,0,1,0,0,0, ,2,3,6,16,20, ,-4,10
Western Conference, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Los Angeles Galaxy, ,17,8,7,2,22,14, ,4,4,0,13,5, ,4,3,2,9,9, ,8,31
2,FC Dallas, ,15,7,4,4,18,16, ,5,2,2,11,8, ,2,2,2,7,8, ,2,25
3,Seattle Sounders FC, ,16,5,7,4,18,15, ,3,3,2,10,7, ,2,4,2,8,8, ,3,22
4,Colorado Rapids, ,15,5,7,3,17,14, ,2,4,1,10,6, ,3,3,2,7,8, ,3,22
5,Real Salt Lake, ,12,6,3,3,14,7, ,4,1,1,9,3, ,2,2,2,5,4, ,7,21
6,San Jose Earthquakes, ,13,5,4,4,20,16, ,3,2,2,11,7, ,2,2,2,9,9, ,4,19
7,Chivas USA, ,14,4,5,5,17,16, ,2,2,3,7,6, ,2,3,2,10,10, ,1,17
8,Portland Timbers, ,13,5,2,6,15,19, ,5,0,2,12,8, ,0,2,4,3,11, ,-4,17
9,Vancouver Whitecaps, ,15,1,8,6,16,22, ,1,5,1,11,10, ,0,3,5,5,12, ,-6,11
