, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Internazionale, ,38,24,10,4,75,34, ,15,4,0,42,15, ,9,6,4,33,19, ,41,82
2,AS Roma, ,38,24,8,6,68,41, ,15,1,3,36,17, ,9,7,3,32,24, ,27,80
3,AC Milan, ,38,20,10,8,60,39, ,12,5,2,37,20, ,8,5,6,23,19, ,21,70
4,Sampdoria, ,38,19,10,9,49,41, ,13,6,0,31,10, ,6,4,9,18,31, ,8,67
5,Palermo, ,38,18,11,9,59,47, ,13,6,0,34,14, ,5,5,9,25,33, ,12,65
6,Napoli, ,38,15,14,9,50,43, ,9,8,2,26,16, ,6,6,7,24,27, ,7,59
7,Juventus, ,38,16,7,15,55,56, ,9,4,6,32,26, ,7,3,9,23,30, ,-1,55
8,Parma, ,38,14,10,14,46,51, ,10,4,5,24,17, ,4,6,9,22,34, ,-5,52
9,Genoa, ,38,14,9,15,57,61, ,11,5,3,42,28, ,3,4,12,15,33, ,-4,51
10,Bari, ,38,13,11,14,49,49, ,11,4,4,30,15, ,2,7,10,19,34, ,0,50
11,Fiorentina, ,38,13,8,17,48,47, ,9,3,7,28,20, ,4,5,10,20,27, ,1,47
12,Lazio, ,38,11,13,14,39,43, ,5,6,8,19,21, ,6,7,6,20,22, ,-4,46
13,Catania, ,38,10,15,13,44,45, ,8,7,4,25,15, ,2,8,9,19,30, ,-1,45
14,Chievo Verona, ,38,12,8,18,37,42, ,6,5,8,20,21, ,6,3,10,17,21, ,-5,44
15,Udinese, ,38,11,11,16,54,59, ,10,5,4,38,25, ,1,6,12,16,34, ,-5,44
16,Cagliari, ,38,11,11,16,56,58, ,7,7,5,37,29, ,4,4,11,19,29, ,-2,44
17,Bologna, ,38,10,12,16,42,55, ,7,5,7,25,27, ,3,7,9,17,28, ,-13,42
18,Atalanta, ,38,9,8,21,37,53, ,7,5,7,24,20, ,2,3,14,13,33, ,-16,35
19,Siena, ,38,7,10,21,40,67, ,4,7,8,17,25, ,3,3,13,23,42, ,-27,31
20,Livorno, ,38,7,8,23,27,61, ,5,5,9,19,25, ,2,3,14,8,36, ,-34,29
