, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Lyon, ,38,24,7,7,74,37, ,14,4,1,44,16, ,10,3,6,30,21, ,37,79
2,Bordeaux, ,38,22,9,7,65,38, ,13,4,2,38,17, ,9,5,5,27,21, ,27,75
3,Marseille, ,38,17,11,10,58,45, ,11,3,5,34,21, ,6,8,5,24,24, ,13,62
4,AS Nancy Lorraine, ,38,15,15,8,44,30, ,13,5,1,31,11, ,2,10,7,13,19, ,14,60
5,St Etienne, ,38,16,10,12,47,34, ,12,6,1,30,4, ,4,4,11,17,30, ,13,58
6,Stade Rennes, ,38,16,10,12,47,44, ,10,2,7,27,19, ,6,8,5,20,25, ,3,58
7,Lille, ,38,13,18,7,45,32, ,8,7,4,29,18, ,5,11,3,16,14, ,13,57
8,Nice, ,38,13,16,9,35,30, ,8,7,4,20,14, ,5,9,5,15,16, ,5,55
9,Le Mans, ,38,14,11,13,46,49, ,9,6,4,23,16, ,5,5,9,23,33, ,-3,53
10,Lorient, ,38,12,16,10,32,35, ,9,7,3,18,12, ,3,9,7,14,23, ,-3,52
11,Caen, ,38,13,12,13,48,53, ,10,5,4,31,19, ,3,7,9,17,34, ,-5,51
12,AS Monaco, ,38,13,8,17,40,48, ,7,5,7,22,24, ,6,3,10,18,24, ,-8,47
13,Valenciennes, ,38,12,9,17,42,40, ,11,4,4,33,13, ,1,5,13,9,27, ,2,45
14,Sochaux, ,38,10,14,14,34,43, ,3,9,7,13,21, ,7,5,7,21,22, ,-9,44
15,AJ Auxerre, ,38,12,8,18,33,52, ,8,4,7,20,17, ,4,4,11,13,35, ,-19,44
16,Paris Saint-Germain, ,38,10,13,15,37,45, ,4,8,7,22,23, ,6,5,8,15,22, ,-8,43
17,Toulouse, ,38,9,15,14,36,42, ,4,11,4,14,15, ,5,4,10,22,27, ,-6,42
18,Lens, ,38,9,13,16,43,52, ,5,11,3,26,22, ,4,2,13,17,30, ,-9,40
19,Strasbourg, ,38,9,8,21,34,55, ,5,5,9,19,20, ,4,3,12,15,35, ,-21,35
20,Metz, ,38,5,9,24,28,64, ,3,3,13,18,34, ,2,6,11,10,30, ,-36,24
