, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Barcelona, ,38,32,4,2,115,40, ,18,1,0,63,15, ,14,3,2,52,25, ,75,100
2,Real Madrid, ,38,26,7,5,103,42, ,17,2,0,67,21, ,9,5,5,36,21, ,61,85
3,Atletico Madrid, ,38,23,7,8,65,31, ,14,2,3,42,12, ,9,5,5,23,19, ,34,76
4,Real Sociedad, ,38,18,12,8,70,49, ,10,7,2,41,22, ,8,5,6,29,27, ,21,66
5,Valencia, ,38,19,8,11,67,54, ,13,3,3,42,25, ,6,5,8,25,29, ,13,65
6,Malaga, ,38,16,9,13,53,50, ,10,5,4,33,18, ,6,4,9,20,32, ,3,57
7,Real Betis, ,38,16,8,14,57,56, ,9,5,5,28,18, ,7,3,9,29,38, ,1,56
8,Rayo Vallecano, ,38,16,5,17,50,66, ,9,3,7,27,29, ,7,2,10,23,37, ,-16,53
9,Sevilla FC, ,38,14,8,16,58,54, ,13,1,5,41,21, ,1,7,11,17,33, ,4,50
10,Getafe, ,38,13,8,17,43,57, ,9,4,6,25,23, ,4,4,11,18,34, ,-14,47
11,Levante, ,38,12,10,16,40,57, ,8,4,7,25,26, ,4,6,9,15,31, ,-17,46
12,Athletic Bilbao, ,38,12,9,17,44,65, ,8,3,8,22,27, ,4,6,9,22,38, ,-21,45
13,Espanyol, ,38,11,11,16,43,52, ,6,7,6,25,28, ,5,4,10,18,24, ,-9,44
14,Real Valladolid, ,38,11,10,17,49,58, ,7,6,6,29,26, ,4,4,11,20,32, ,-9,43
15,Granada, ,38,11,9,18,37,54, ,6,6,7,21,21, ,5,3,11,16,33, ,-17,42
16,Osasuna, ,38,10,9,19,33,50, ,7,5,7,15,14, ,3,4,12,18,36, ,-17,39
17,Celta Vigo, ,38,10,7,21,37,52, ,7,6,6,23,21, ,3,1,15,14,31, ,-15,37
18,Mallorca, ,38,9,9,20,43,72, ,7,5,7,26,30, ,2,4,13,17,42, ,-29,36
19,Deportivo La Coruña, ,38,8,11,19,47,70, ,6,5,8,23,26, ,2,6,11,24,44, ,-23,35
20,Real Zaragoza, ,38,9,7,22,37,62, ,5,4,10,23,27, ,4,3,12,14,35, ,-25,34
