, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Bayern Munich, ,34,20,10,4,72,31, ,12,4,1,39,13, ,8,6,3,33,18, ,41,70
2,Schalke 04, ,34,19,8,7,53,31, ,11,2,4,29,15, ,8,6,3,24,16, ,22,65
3,Werder Bremen, ,34,17,10,7,71,40, ,8,6,3,34,21, ,9,4,4,37,19, ,31,61
4,Bayer Leverkusen, ,34,15,14,5,65,38, ,11,5,1,37,14, ,4,9,4,28,24, ,27,59
5,Borussia Dortmund, ,34,16,9,9,54,42, ,10,4,3,29,14, ,6,5,6,25,28, ,12,57
6,VfB Stuttgart, ,34,15,10,9,51,41, ,8,5,4,28,21, ,7,5,5,23,20, ,10,55
7,Hamburg SV, ,34,13,13,8,56,41, ,8,6,3,25,12, ,5,7,5,31,29, ,15,52
8,VfL Wolfsburg, ,34,14,8,12,64,58, ,7,2,8,39,39, ,7,6,4,25,19, ,6,50
9,Mainz, ,34,12,11,11,36,42, ,9,6,2,22,14, ,3,5,9,14,28, ,-6,47
10,Eintracht Frankfurt, ,34,12,10,12,47,54, ,7,5,5,25,26, ,5,5,7,22,28, ,-7,46
11,TSG Hoffenheim, ,34,11,9,14,44,42, ,5,6,6,26,20, ,6,3,8,18,22, ,2,42
12,Borussia Monchengladbach, ,34,10,9,15,43,60, ,8,5,4,25,22, ,2,4,11,18,38, ,-17,39
13,FC Cologne, ,34,9,11,14,33,42, ,3,6,8,18,29, ,6,5,6,15,13, ,-9,38
14,SC Freiburg, ,34,9,8,17,35,59, ,5,4,8,14,26, ,4,4,9,21,33, ,-24,35
15,Hannover 96, ,34,9,6,19,43,67, ,5,4,8,27,33, ,4,2,11,16,34, ,-24,33
16,Nurnberg, ,34,8,7,19,32,58, ,5,4,8,18,23, ,3,3,11,14,35, ,-26,31
17,VfL Bochum, ,34,6,10,18,33,64, ,2,6,9,18,35, ,4,4,9,15,29, ,-31,28
18,Hertha Berlin, ,34,5,9,20,34,56, ,1,6,10,10,26, ,4,3,10,24,30, ,-22,24
