, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Lyon, ,38,19,11,8,63,41, ,12,5,2,40,19, ,7,6,6,23,22, ,22,68
2,AS Monaco, ,38,19,10,9,66,33, ,12,4,3,37,13, ,7,6,6,29,20, ,33,67
3,Marseille, ,38,19,8,11,41,36, ,12,4,3,26,14, ,7,4,8,15,22, ,5,65
4,Bordeaux, ,38,18,10,10,57,36, ,11,4,4,30,14, ,7,6,6,27,22, ,21,64
5,Sochaux, ,38,17,13,8,46,31, ,12,7,0,28,8, ,5,6,8,18,23, ,15,64
6,AJ Auxerre, ,38,18,10,10,38,29, ,11,5,3,19,8, ,7,5,7,19,21, ,9,64
7,Guingamp, ,38,19,5,14,59,46, ,11,4,4,32,16, ,8,1,10,27,30, ,13,62
8,Lens, ,38,14,15,9,43,31, ,9,7,3,29,16, ,5,8,6,14,15, ,12,57
9,Nantes, ,38,16,8,14,37,39, ,11,4,4,25,18, ,5,4,10,12,21, ,-2,56
10,Nice, ,38,13,16,9,39,31, ,10,7,2,24,8, ,3,9,7,15,23, ,8,55
11,Paris Saint-Germain, ,38,14,12,12,47,36, ,10,6,3,31,14, ,4,6,9,16,22, ,11,54
12,Bastia, ,38,12,11,15,40,48, ,10,5,4,28,17, ,2,6,11,12,31, ,-8,47
13,Strasbourg, ,38,11,12,15,40,54, ,7,7,5,24,23, ,4,5,10,16,31, ,-14,45
14,Lille, ,38,10,12,16,29,44, ,9,4,6,20,19, ,1,8,10,9,25, ,-15,42
15,Stade Rennes, ,38,10,10,18,35,45, ,6,8,5,24,20, ,4,2,13,11,25, ,-10,40
16,Montpellier, ,38,10,10,18,37,54, ,6,7,6,19,19, ,4,3,12,18,35, ,-17,40
17,AC Ajaccio, ,38,9,12,17,29,49, ,6,6,7,14,21, ,3,6,10,15,28, ,-20,39
18,Le Havre AC, ,38,10,8,20,27,47, ,7,3,9,16,21, ,3,5,11,11,26, ,-20,38
19,Sedan, ,38,9,9,20,41,59, ,7,5,7,29,20, ,2,4,13,12,39, ,-18,36
20,Troyes, ,38,7,10,21,23,48, ,7,4,8,16,18, ,0,6,13,7,30, ,-25,31
