, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Internazionale, ,38,25,9,4,70,32, ,14,5,0,37,16, ,11,4,4,33,16, ,38,84
2,Juventus, ,38,21,11,6,69,37, ,11,6,2,38,19, ,10,5,4,31,18, ,32,74
3,AC Milan, ,38,22,8,8,70,35, ,14,3,2,39,12, ,8,5,6,31,23, ,35,74
4,Fiorentina, ,38,21,5,12,53,38, ,14,2,3,29,14, ,7,3,9,24,24, ,15,68
5,Genoa, ,38,19,11,8,56,39, ,12,5,2,39,19, ,7,6,6,17,20, ,17,68
6,AS Roma, ,38,18,9,11,64,61, ,13,4,2,35,23, ,5,5,9,29,38, ,3,63
7,Udinese, ,38,16,10,12,61,50, ,11,5,3,36,18, ,5,5,9,25,32, ,11,58
8,Palermo, ,38,17,6,15,57,50, ,14,1,4,42,25, ,3,5,11,15,25, ,7,57
9,Cagliari, ,38,15,8,15,49,50, ,11,4,4,24,12, ,4,4,11,25,38, ,-1,53
10,Lazio, ,38,15,5,18,46,55, ,8,4,7,23,24, ,7,1,11,23,31, ,-9,50
11,Atalanta, ,38,13,8,17,45,48, ,10,3,6,28,17, ,3,5,11,17,31, ,-3,47
12,Napoli, ,38,12,10,16,43,45, ,10,5,4,27,16, ,2,5,12,16,29, ,-2,46
13,Sampdoria, ,38,11,13,14,49,52, ,8,8,3,33,21, ,3,5,11,16,31, ,-3,46
14,Siena, ,38,12,8,18,33,44, ,9,5,5,18,18, ,3,3,13,15,26, ,-11,44
15,Catania, ,38,12,7,19,41,51, ,11,1,7,24,22, ,1,6,12,17,29, ,-10,43
16,Chievo Verona, ,38,8,14,16,35,49, ,3,8,8,15,23, ,5,6,8,20,26, ,-14,38
17,Bologna, ,38,9,10,19,43,62, ,6,3,10,27,31, ,3,7,9,16,31, ,-19,37
18,Torino, ,38,8,10,20,37,61, ,7,4,8,21,25, ,1,6,12,16,36, ,-24,34
19,Reggina, ,38,6,13,19,30,62, ,3,9,7,23,27, ,3,4,12,7,35, ,-32,31
20,Lecce, ,38,5,15,18,37,67, ,3,10,6,20,28, ,2,5,12,17,39, ,-30,30
