, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Valencia, ,38,21,12,5,51,27, ,14,4,1,28,8, ,7,8,4,23,19, ,24,75
2,Deportivo La Coruña, ,38,20,8,10,65,41, ,13,4,2,40,13, ,7,4,8,25,28, ,24,68
3,Real Madrid, ,38,19,9,10,69,44, ,14,5,0,48,14, ,5,4,10,21,30, ,25,66
4,Barcelona, ,38,18,10,10,65,37, ,12,5,2,44,17, ,6,5,8,21,20, ,28,64
5,Celta Vigo, ,38,16,12,10,64,46, ,10,5,4,36,21, ,6,7,6,28,25, ,18,60
6,Real Betis, ,38,15,14,9,42,34, ,11,5,3,26,13, ,4,9,6,16,21, ,8,59
7,Alavés, ,38,17,3,18,41,44, ,10,1,8,22,21, ,7,2,10,19,23, ,-3,54
8,Sevilla FC, ,38,14,11,13,51,40, ,7,6,6,26,18, ,7,5,7,25,22, ,11,53
9,Athletic Bilbao, ,38,14,11,13,54,66, ,6,7,6,23,29, ,8,4,7,31,37, ,-12,53
10,Malaga, ,38,13,14,11,44,44, ,8,7,4,24,20, ,5,7,7,20,24, ,0,53
11,Rayo Vallecano, ,38,13,10,15,46,52, ,11,3,5,27,19, ,2,7,10,19,33, ,-6,49
12,Real Valladolid, ,38,13,9,16,45,58, ,9,4,6,24,20, ,4,5,10,21,38, ,-13,48
13,Real Sociedad, ,38,13,8,17,48,54, ,8,6,5,31,22, ,5,2,12,17,32, ,-6,47
14,Espanyol, ,38,13,8,17,47,56, ,12,2,5,34,20, ,1,6,12,13,36, ,-9,47
15,Villarreal, ,38,11,10,17,46,55, ,9,6,4,30,21, ,2,4,13,16,34, ,-9,43
16,Mallorca, ,38,11,10,17,40,52, ,7,5,7,24,23, ,4,5,10,16,29, ,-12,43
17,Osasuna, ,38,10,12,16,36,49, ,6,6,7,19,21, ,4,6,9,17,28, ,-13,42
18,Las Palmas, ,38,9,13,16,40,50, ,7,8,4,23,17, ,2,5,12,17,33, ,-10,40
19,Tenerife, ,38,10,8,20,32,58, ,6,5,8,21,30, ,4,3,12,11,28, ,-26,38
20,Real Zaragoza, ,38,9,10,19,35,54, ,6,7,6,21,23, ,3,3,13,14,31, ,-19,37
