, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Real Madrid, ,38,23,7,8,66,40, ,12,4,3,32,18, ,11,3,5,34,22, ,26,76
2,Barcelona, ,38,22,10,6,78,33, ,14,5,0,41,12, ,8,5,6,37,21, ,45,76
3,Sevilla FC, ,38,21,8,9,64,35, ,15,2,2,41,13, ,6,6,7,23,22, ,29,71
4,Valencia, ,38,20,6,12,57,42, ,14,2,3,40,16, ,6,4,9,17,26, ,15,66
5,Villarreal, ,38,18,8,12,48,44, ,10,4,5,23,18, ,8,4,7,25,26, ,4,62
6,Real Zaragoza, ,38,16,12,10,55,43, ,12,5,2,33,16, ,4,7,8,22,27, ,12,60
7,Atletico Madrid, ,38,17,9,12,46,39, ,8,6,5,20,20, ,9,3,7,26,19, ,7,60
8,Recreativo Huelva, ,38,15,9,14,54,52, ,9,4,6,27,23, ,6,5,8,27,29, ,2,54
9,Getafe, ,38,14,10,14,39,33, ,9,7,3,21,11, ,5,3,11,18,22, ,6,52
10,Racing Santander, ,38,12,14,12,42,48, ,9,4,6,25,25, ,3,10,6,17,23, ,-6,50
11,Espanyol, ,38,12,13,13,46,53, ,7,6,6,26,27, ,5,7,7,20,26, ,-7,49
12,Mallorca, ,38,14,7,17,41,47, ,8,5,6,22,19, ,6,2,11,19,28, ,-6,49
13,Deportivo La Coruña, ,38,12,11,15,32,45, ,9,4,6,19,16, ,3,7,9,13,29, ,-13,47
14,Osasuna, ,38,13,7,18,51,49, ,6,6,7,26,24, ,7,1,11,25,25, ,2,46
15,Levante, ,38,10,12,16,37,53, ,6,7,6,22,25, ,4,5,10,15,28, ,-16,42
16,Real Betis, ,38,8,16,14,36,49, ,4,9,6,17,22, ,4,7,8,19,27, ,-13,40
17,Athletic Bilbao, ,38,10,10,18,44,62, ,6,4,9,19,28, ,4,6,9,25,34, ,-18,40
18,Celta Vigo, ,38,10,9,19,40,59, ,4,6,9,21,31, ,6,3,10,19,28, ,-19,39
19,Real Sociedad, ,38,8,11,19,32,47, ,6,4,9,20,24, ,2,7,10,12,23, ,-15,35
20,Gimnastic de Tarragona, ,38,7,7,24,34,69, ,4,4,11,23,36, ,3,3,13,11,33, ,-35,28
