, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Bayern Munich, ,34,29,4,1,98,18, ,14,2,1,56,11, ,15,2,0,42,7, ,80,91
2,Borussia Dortmund, ,34,19,9,6,81,42, ,10,3,4,40,19, ,9,6,2,41,23, ,39,66
3,Bayer Leverkusen, ,34,19,8,7,65,39, ,12,3,2,36,15, ,7,5,5,29,24, ,26,65
4,Schalke 04, ,34,16,7,11,58,50, ,10,3,4,35,22, ,6,4,7,23,28, ,8,55
5,SC Freiburg, ,34,14,9,11,45,40, ,8,4,5,25,18, ,6,5,6,20,22, ,5,51
6,Eintracht Frankfurt, ,34,14,9,11,49,46, ,9,4,4,32,23, ,5,5,7,17,23, ,3,51
7,Hamburg SV, ,34,14,6,14,42,53, ,8,2,7,18,18, ,6,4,7,24,35, ,-11,48
8,Borussia Monchengladbach, ,34,12,11,11,45,49, ,8,5,4,27,20, ,4,6,7,18,29, ,-4,47
9,Hannover 96, ,34,13,6,15,60,62, ,9,5,3,34,23, ,4,1,12,26,39, ,-2,45
10,Nurnberg, ,34,11,11,12,39,47, ,7,6,4,24,19, ,4,5,8,15,28, ,-8,44
11,VfL Wolfsburg, ,34,10,13,11,47,52, ,3,8,6,21,30, ,7,5,5,26,22, ,-5,43
12,VfB Stuttgart, ,34,12,7,15,37,55, ,5,4,8,20,28, ,7,3,7,17,27, ,-18,43
13,Mainz, ,34,10,12,12,42,44, ,7,5,5,22,19, ,3,7,7,20,25, ,-2,42
14,Werder Bremen, ,34,8,10,16,50,66, ,5,5,7,23,30, ,3,5,9,27,36, ,-16,34
15,FC Augsburg, ,34,8,9,17,33,51, ,5,5,7,19,22, ,3,4,10,14,29, ,-18,33
16,TSG Hoffenheim, ,34,8,7,19,42,67, ,5,4,8,21,30, ,3,3,11,21,37, ,-25,31
17,Fortuna Düsseldorf, ,34,7,9,18,39,57, ,5,6,6,24,28, ,2,3,12,15,29, ,-18,30
18,SpVgg Greuther Furth, ,34,4,9,21,26,60, ,0,4,13,10,36, ,4,5,8,16,24, ,-34,21
