, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Barcelona, ,38,27,6,5,105,35, ,14,3,2,61,14, ,13,3,3,44,21, ,70,87
2,Real Madrid, ,38,25,3,10,83,52, ,14,2,3,49,29, ,11,1,7,34,23, ,31,78
3,Sevilla FC, ,38,21,7,10,54,39, ,11,2,6,28,20, ,10,5,4,26,19, ,15,70
4,Atletico Madrid, ,38,20,7,11,80,57, ,13,1,5,47,23, ,7,6,6,33,34, ,23,67
5,Villarreal, ,38,18,11,9,61,54, ,12,3,4,33,25, ,6,8,5,28,29, ,7,65
6,Valencia, ,38,18,8,12,68,54, ,12,4,3,47,26, ,6,4,9,21,28, ,14,62
7,Deportivo La Coruña, ,38,16,10,12,48,47, ,10,6,3,30,18, ,6,4,9,18,29, ,1,58
8,Malaga, ,38,15,10,13,55,59, ,8,7,4,28,23, ,7,3,9,27,36, ,-4,55
9,Mallorca, ,38,14,9,15,53,60, ,9,6,4,33,24, ,5,3,11,20,36, ,-7,51
10,Espanyol, ,38,12,11,15,46,49, ,8,5,6,28,22, ,4,6,9,18,27, ,-3,47
11,Almeria, ,38,13,7,18,45,61, ,11,4,4,27,20, ,2,3,14,18,41, ,-16,46
12,Racing Santander, ,38,12,10,16,49,48, ,5,8,6,28,22, ,7,2,10,21,26, ,1,46
13,Athletic Bilbao, ,38,12,8,18,47,62, ,9,2,8,28,29, ,3,6,10,19,33, ,-15,44
14,Sporting Gijon, ,38,14,1,23,47,79, ,8,1,10,24,37, ,6,0,13,23,42, ,-32,43
15,Osasuna, ,38,10,13,15,41,47, ,8,5,6,27,22, ,2,8,9,14,25, ,-6,43
16,Real Valladolid, ,38,12,7,19,46,58, ,8,5,6,22,17, ,4,2,13,24,41, ,-12,43
17,Getafe, ,38,10,12,16,50,56, ,7,4,8,27,23, ,3,8,8,23,33, ,-6,42
18,Real Betis, ,38,10,12,16,51,58, ,4,8,7,24,25, ,6,4,9,27,33, ,-7,42
19,Numancia, ,38,10,5,23,38,69, ,9,3,7,23,22, ,1,2,16,15,47, ,-31,35
20,Recreativo Huelva, ,38,8,9,21,34,57, ,4,4,11,17,29, ,4,5,10,17,28, ,-23,33
