, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Juventus, ,38,33,3,2,80,23, ,19,0,0,47,9, ,14,3,2,33,14, ,57,102
2,AS Roma, ,38,26,7,5,72,25, ,15,3,1,44,9, ,11,4,4,28,16, ,47,85
3,Napoli, ,38,23,9,6,77,39, ,13,4,2,43,15, ,10,5,4,34,24, ,38,78
4,Fiorentina, ,38,19,8,11,65,44, ,9,4,6,36,29, ,10,4,5,29,15, ,21,65
5,Internazionale, ,38,15,15,8,62,39, ,8,9,2,27,18, ,7,6,6,35,21, ,23,60
6,Parma, ,38,15,13,10,58,46, ,9,7,3,27,18, ,6,6,7,31,28, ,12,58
7,Torino, ,38,15,12,11,58,48, ,9,6,4,31,20, ,6,6,7,27,28, ,10,57
8,AC Milan, ,38,16,9,13,57,49, ,11,4,4,28,17, ,5,5,9,29,32, ,8,57
9,Lazio, ,38,15,11,12,54,54, ,10,6,3,32,21, ,5,5,9,22,33, ,0,56
10,Hellas Verona, ,38,16,6,16,62,68, ,10,3,6,35,28, ,6,3,10,27,40, ,-6,54
11,Atalanta, ,38,15,5,18,43,51, ,11,3,5,28,22, ,4,2,13,15,29, ,-8,50
12,Sampdoria, ,38,12,9,17,48,62, ,7,5,7,28,29, ,5,4,10,20,33, ,-14,45
13,Udinese, ,38,12,8,18,46,57, ,9,4,6,27,24, ,3,4,12,19,33, ,-11,44
14,Genoa, ,38,11,11,16,41,50, ,8,5,6,22,19, ,3,6,10,19,31, ,-9,44
15,Cagliari, ,38,9,12,17,34,53, ,8,4,7,24,27, ,1,8,10,10,26, ,-19,39
16,Chievo Verona, ,38,10,6,22,34,54, ,6,2,11,19,22, ,4,4,11,15,32, ,-20,36
17,Sassuolo, ,38,9,7,22,43,72, ,5,2,12,23,39, ,4,5,10,20,33, ,-29,34
18,Catania, ,38,8,8,22,34,66, ,7,6,6,25,25, ,1,2,16,9,41, ,-32,32
19,Bologna, ,38,5,14,19,28,58, ,3,8,8,15,27, ,2,6,11,13,31, ,-30,29
20,Livorno, ,38,6,7,25,39,77, ,4,5,10,23,33, ,2,2,15,16,44, ,-38,25
