, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Juventus, ,38,23,15,0,68,20, ,13,6,0,40,12, ,10,9,0,28,8, ,48,84
2,AC Milan, ,38,24,8,6,74,33, ,12,5,2,36,11, ,12,3,4,38,22, ,41,80
3,Udinese, ,38,18,10,10,52,35, ,13,4,2,33,13, ,5,6,8,19,22, ,17,64
4,Lazio, ,38,18,8,12,56,47, ,10,6,3,28,16, ,8,2,9,28,31, ,9,62
5,Napoli, ,38,16,13,9,66,46, ,10,6,3,39,22, ,6,7,6,27,24, ,20,61
6,Internazionale, ,38,17,7,14,58,55, ,10,4,5,36,27, ,7,3,9,22,28, ,3,58
7,AS Roma, ,38,16,8,14,60,54, ,10,5,4,39,22, ,6,3,10,21,32, ,6,56
8,Parma, ,38,15,11,12,54,53, ,10,5,4,34,20, ,5,6,8,20,33, ,1,56
9,Bologna, ,38,13,12,13,41,43, ,8,4,7,23,24, ,5,8,6,18,19, ,-2,51
10,Chievo Verona, ,38,12,13,13,35,45, ,8,6,5,16,15, ,4,7,8,19,30, ,-10,49
11,Catania, ,38,11,15,12,47,52, ,9,5,5,24,15, ,2,10,7,23,37, ,-5,48
12,Atalanta, ,38,13,13,12,41,43, ,9,6,4,23,15, ,4,7,8,18,28, ,-2,46
13,Fiorentina, ,38,11,13,14,37,43, ,7,7,5,24,22, ,4,6,9,13,21, ,-6,46
14,Siena, ,38,11,11,16,45,45, ,8,4,7,27,19, ,3,7,9,18,26, ,0,44
15,Cagliari, ,38,10,13,15,37,46, ,7,8,4,23,16, ,3,5,11,14,30, ,-9,43
16,Palermo, ,38,11,10,17,52,62, ,10,3,6,38,30, ,1,7,11,14,32, ,-10,43
17,Genoa, ,38,11,9,18,50,69, ,9,6,4,29,24, ,2,3,14,21,45, ,-19,42
18,Lecce, ,38,8,12,18,40,56, ,3,6,10,22,29, ,5,6,8,18,27, ,-16,36
19,Novara, ,38,7,11,20,35,65, ,5,8,6,20,27, ,2,3,14,15,38, ,-30,32
20,Cesena, ,38,4,10,24,24,60, ,2,7,10,15,24, ,2,3,14,9,36, ,-36,22
