, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Internazionale, ,38,25,10,3,69,26, ,15,3,1,41,14, ,10,7,2,28,12, ,43,85
2,AS Roma, ,38,24,10,4,72,37, ,15,3,1,43,20, ,9,7,3,29,17, ,35,82
3,Juventus, ,38,20,12,6,72,37, ,12,5,2,39,12, ,8,7,4,33,25, ,35,72
4,Fiorentina, ,38,19,9,10,55,39, ,12,4,3,35,18, ,7,5,7,20,21, ,16,66
5,AC Milan, ,38,18,10,10,66,38, ,8,7,4,31,18, ,10,3,6,35,20, ,28,64
6,Sampdoria, ,38,17,9,12,56,46, ,10,7,2,35,18, ,7,2,10,21,28, ,10,60
7,Udinese, ,38,16,9,13,48,53, ,9,4,6,30,29, ,7,5,7,18,24, ,-5,57
8,Napoli, ,38,14,8,16,50,53, ,11,4,4,27,16, ,3,4,12,23,37, ,-3,50
9,Atalanta, ,38,12,12,14,52,56, ,8,7,4,36,28, ,4,5,10,16,28, ,-4,48
10,Genoa, ,38,13,9,16,44,54, ,8,4,7,23,22, ,5,5,9,21,32, ,-10,48
11,Palermo, ,38,12,11,15,47,57, ,8,7,4,25,21, ,4,4,11,22,36, ,-10,47
12,Lazio, ,38,11,13,14,47,51, ,9,4,6,28,23, ,2,9,8,19,28, ,-4,46
13,Siena, ,38,9,17,12,40,45, ,6,9,4,24,17, ,3,8,8,16,28, ,-5,44
14,Cagliari, ,38,11,9,18,40,56, ,8,5,6,22,20, ,3,4,12,18,36, ,-16,42
15,Torino, ,38,8,16,14,36,49, ,5,7,7,19,19, ,3,9,7,17,30, ,-13,40
16,Reggina, ,38,9,13,16,37,56, ,8,5,6,24,19, ,1,8,10,13,37, ,-19,40
17,Catania, ,38,8,13,17,33,45, ,8,6,5,21,14, ,0,7,12,12,31, ,-12,37
18,Empoli, ,38,9,9,20,29,52, ,5,7,7,18,21, ,4,2,13,11,31, ,-23,36
19,Parma, ,38,7,13,18,42,62, ,7,6,6,28,26, ,0,7,12,14,36, ,-20,34
20,Livorno, ,38,6,12,20,35,60, ,3,8,8,18,28, ,3,4,12,17,32, ,-25,30
