, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Bayern Munich, ,34,22,9,3,67,32, ,14,2,1,42,14, ,8,7,2,25,18, ,35,75
2,Werder Bremen, ,34,21,7,6,79,37, ,12,3,2,50,18, ,9,4,4,29,19, ,42,70
3,Hamburg SV, ,34,21,5,8,53,30, ,10,2,5,26,16, ,11,3,3,27,14, ,23,68
4,Schalke 04, ,34,16,13,5,47,31, ,10,6,1,32,16, ,6,7,4,15,15, ,16,61
5,Bayer Leverkusen, ,34,14,10,10,64,49, ,7,6,4,30,23, ,7,4,6,34,26, ,15,52
6,Hertha Berlin, ,34,12,12,10,52,48, ,8,5,4,30,22, ,4,7,6,22,26, ,4,48
7,Borussia Dortmund, ,34,11,13,10,45,42, ,8,4,5,23,18, ,3,9,5,22,24, ,3,46
8,Nurnberg, ,34,12,8,14,49,51, ,9,3,5,31,20, ,3,5,9,18,31, ,-2,44
9,VfB Stuttgart, ,34,9,16,9,37,39, ,5,7,5,18,19, ,4,9,4,19,20, ,-2,43
10,Borussia Monchengladbach, ,34,10,12,12,42,50, ,8,7,2,27,18, ,2,5,10,15,32, ,-8,42
11,Mainz, ,34,9,11,14,46,47, ,6,7,4,31,23, ,3,4,10,15,24, ,-1,38
12,Hannover 96, ,34,7,17,10,43,47, ,4,9,4,27,24, ,3,8,6,16,23, ,-4,38
13,Arminia Bielefeld, ,34,10,7,17,32,47, ,8,2,7,18,15, ,2,5,10,14,32, ,-15,37
14,Eintracht Frankfurt, ,34,9,9,16,42,51, ,5,5,7,24,22, ,4,4,9,18,29, ,-9,36
15,VfL Wolfsburg, ,34,7,13,14,33,55, ,4,10,3,16,16, ,3,3,11,17,39, ,-22,34
16,Kaiserslautern, ,34,8,9,17,47,71, ,5,5,7,26,33, ,3,4,10,21,38, ,-24,33
17,FC Cologne, ,34,7,9,18,49,71, ,5,4,8,24,29, ,2,5,10,25,42, ,-22,30
18,MSV Duisburg, ,34,5,12,17,34,63, ,3,9,5,17,23, ,2,3,12,17,40, ,-29,27
