, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Internazionale, ,38,30,7,1,80,34, ,15,3,1,42,19, ,15,4,0,38,15, ,46,97
2,AS Roma, ,38,22,9,7,74,34, ,13,4,2,43,12, ,9,5,5,31,22, ,40,75
3,Lazio, ,38,18,11,9,59,33, ,10,6,3,25,9, ,8,5,6,34,24, ,26,62
4,AC Milan, ,38,19,12,7,57,36, ,12,3,4,30,17, ,7,9,3,27,19, ,21,61
5,Fiorentina, ,38,21,10,7,62,31, ,15,2,2,44,12, ,6,8,5,18,19, ,31,58
6,Palermo, ,38,16,10,12,58,51, ,9,3,7,37,28, ,7,7,5,21,23, ,7,58
7,Empoli, ,38,14,12,12,42,43, ,10,7,2,29,16, ,4,5,10,13,27, ,-1,54
8,Atalanta, ,38,12,14,12,56,54, ,8,9,2,34,22, ,4,5,10,22,32, ,2,50
9,Sampdoria, ,38,13,10,15,44,48, ,9,7,3,30,19, ,4,3,12,14,29, ,-4,49
10,Udinese, ,38,12,10,16,49,55, ,8,4,7,26,21, ,4,6,9,23,34, ,-6,46
11,Livorno, ,38,10,13,15,41,54, ,8,8,3,24,15, ,2,5,12,17,39, ,-13,43
12,Parma, ,38,10,12,16,41,56, ,9,4,6,25,24, ,1,8,10,16,32, ,-15,42
13,Catania, ,38,10,11,17,46,68, ,7,6,6,29,29, ,3,5,11,17,39, ,-22,41
14,Reggina, ,38,12,15,11,52,50, ,7,8,4,26,19, ,5,7,7,26,31, ,2,40
15,Siena, ,38,9,14,15,35,45, ,5,8,6,23,24, ,4,6,9,12,21, ,-10,40
16,Cagliari, ,38,9,13,16,35,46, ,7,7,5,19,19, ,2,6,11,16,27, ,-11,40
17,Torino, ,38,10,10,18,27,47, ,6,4,9,15,22, ,4,6,9,12,25, ,-20,40
18,Chievo Verona, ,38,9,12,17,38,48, ,7,6,6,21,18, ,2,6,11,17,30, ,-10,39
19,Ascoli, ,38,5,12,21,36,67, ,3,8,8,24,32, ,2,4,13,12,35, ,-31,27
20,Messina, ,38,5,11,22,37,69, ,5,7,7,20,26, ,0,4,15,17,43, ,-32,26
