, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Real Madrid, ,38,22,12,4,86,42, ,13,5,1,52,22, ,9,7,3,34,20, ,44,78
2,Real Sociedad, ,38,22,10,6,71,45, ,13,6,0,41,18, ,9,4,6,30,27, ,26,76
3,Deportivo La Coruña, ,38,22,6,10,67,47, ,13,3,3,41,18, ,9,3,7,26,29, ,20,72
4,Celta Vigo, ,38,17,10,11,45,36, ,10,6,3,29,15, ,7,4,8,16,21, ,9,61
5,Valencia, ,38,17,9,12,56,35, ,10,3,6,30,15, ,7,6,6,26,20, ,21,60
6,Barcelona, ,38,15,11,12,63,47, ,10,5,4,43,24, ,5,6,8,20,23, ,16,56
7,Athletic Bilbao, ,38,15,10,13,63,61, ,11,3,5,30,20, ,4,7,8,33,41, ,2,55
8,Real Betis, ,38,14,12,12,56,53, ,9,6,4,31,21, ,5,6,8,25,32, ,3,54
9,Mallorca, ,38,14,10,14,49,56, ,7,5,7,25,33, ,7,5,7,24,23, ,-7,52
10,Sevilla FC, ,38,13,11,14,38,39, ,8,7,4,24,19, ,5,4,10,14,20, ,-1,50
11,Osasuna, ,38,12,11,15,40,48, ,8,3,8,22,24, ,4,8,7,18,24, ,-8,47
12,Atletico Madrid, ,38,12,11,15,51,56, ,8,5,6,28,25, ,4,6,9,23,31, ,-5,47
13,Malaga, ,38,11,13,14,44,49, ,8,7,4,29,21, ,3,6,10,15,28, ,-5,46
14,Real Valladolid, ,38,12,10,16,37,40, ,9,4,6,23,17, ,3,6,10,14,23, ,-3,46
15,Villarreal, ,38,11,12,15,44,53, ,8,5,6,24,21, ,3,7,9,20,32, ,-9,45
16,Racing Santander, ,38,13,5,20,54,64, ,9,2,8,29,22, ,4,3,12,25,42, ,-10,44
17,Espanyol, ,38,10,13,15,48,54, ,8,6,5,30,23, ,2,7,10,18,31, ,-6,43
18,Recreativo Huelva, ,38,8,12,18,35,61, ,5,8,6,24,24, ,3,4,12,11,37, ,-26,36
19,Alavés, ,38,8,11,19,38,68, ,5,8,6,18,20, ,3,3,13,20,48, ,-30,35
20,Rayo Vallecano, ,38,7,11,20,31,62, ,4,8,7,17,24, ,3,3,13,14,38, ,-31,32
