Eastern Conference, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,DC United, ,32,15,10,7,52,38, ,9,4,3,31,22, ,6,6,4,21,16, ,14,55
2,New England Revolution, ,32,12,12,8,39,35, ,8,5,3,23,14, ,4,7,5,16,21, ,4,48
3,Chicago Fire, ,32,13,8,11,43,41, ,8,4,4,25,20, ,5,4,7,18,21, ,2,47
4,New York Red Bulls, ,32,9,12,11,41,41, ,8,5,3,24,17, ,1,7,8,17,24, ,0,39
5,Sporting Kansas City, ,32,10,8,14,43,45, ,7,5,4,31,24, ,3,3,10,12,21, ,-2,38
6,Columbus Crew, ,32,8,9,15,30,42, ,4,6,6,16,16, ,4,3,9,14,26, ,-12,33
Western Conference, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,FC Dallas, ,32,16,4,12,48,44, ,12,1,3,28,14, ,4,3,9,20,30, ,4,52
2,Houston Dynamo, ,32,11,13,8,44,40, ,8,5,3,27,19, ,3,8,5,17,21, ,4,46
3,Chivas USA, ,32,10,13,9,45,42, ,7,7,2,24,12, ,3,6,7,21,30, ,3,43
4,Colorado Rapids, ,32,11,8,13,36,49, ,9,4,3,22,18, ,2,4,10,14,31, ,-13,41
5,Los Angeles Galaxy, ,32,11,6,15,37,37, ,6,4,6,19,15, ,5,2,9,18,22, ,0,39
6,Real Salt Lake, ,32,10,9,13,45,49, ,6,6,4,23,19, ,4,3,9,22,30, ,-4,39
