, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Borussia Dortmund, ,34,25,6,3,80,25, ,14,2,1,44,12, ,11,4,2,36,13, ,55,81
2,Bayern Munich, ,34,23,4,7,77,22, ,14,1,2,49,6, ,9,3,5,28,16, ,55,73
3,Schalke 04, ,34,20,4,10,74,44, ,13,1,3,47,14, ,7,3,7,27,30, ,30,64
4,Borussia Monchengladbach, ,34,17,9,8,49,24, ,9,7,1,29,10, ,8,2,7,20,14, ,25,60
5,Bayer Leverkusen, ,34,15,9,10,52,44, ,8,4,5,28,24, ,7,5,5,24,20, ,8,54
6,VfB Stuttgart, ,34,15,8,11,63,46, ,10,3,4,36,17, ,5,5,7,27,29, ,17,53
7,Hannover 96, ,34,12,12,10,41,45, ,10,7,0,31,17, ,2,5,10,10,28, ,-4,48
8,VfL Wolfsburg, ,34,13,5,16,47,60, ,10,2,5,29,22, ,3,3,11,18,38, ,-13,44
9,Werder Bremen, ,34,11,9,14,49,58, ,8,4,5,31,23, ,3,5,9,18,35, ,-9,42
10,Nurnberg, ,34,12,6,16,38,49, ,6,4,7,22,25, ,6,2,9,16,24, ,-11,42
11,TSG Hoffenheim, ,34,10,11,13,41,47, ,4,9,4,21,17, ,6,2,9,20,30, ,-6,41
12,SC Freiburg, ,34,10,10,14,45,61, ,6,6,5,24,20, ,4,4,9,21,41, ,-16,40
13,Mainz, ,34,9,12,13,47,51, ,7,3,7,27,26, ,2,9,6,20,25, ,-4,39
14,FC Augsburg, ,34,8,14,12,36,49, ,6,7,4,20,19, ,2,7,8,16,30, ,-13,38
15,Hamburg SV, ,34,8,12,14,35,57, ,3,7,7,19,29, ,5,5,7,16,28, ,-22,36
16,Hertha Berlin, ,34,7,10,17,38,64, ,4,3,10,19,29, ,3,7,7,19,35, ,-26,31
17,FC Cologne, ,34,8,6,20,39,75, ,5,4,8,20,29, ,3,2,12,19,46, ,-36,30
18,Kaiserslautern, ,34,4,11,19,24,54, ,2,5,10,12,28, ,2,6,9,12,26, ,-30,23
