Eastern Conference, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,New York Red Bulls, ,34,17,8,9,58,41, ,11,4,2,34,16, ,6,4,7,24,25, ,17,59
2,Sporting Kansas City, ,34,17,7,10,47,30, ,9,3,5,29,15, ,8,4,5,18,15, ,17,58
3,New England Revolution, ,34,14,9,11,49,38, ,8,4,5,29,16, ,6,5,6,20,22, ,11,51
4,Houston Dynamo, ,34,14,9,11,41,41, ,9,4,4,24,17, ,5,5,7,17,24, ,0,51
5,Montreal Impact, ,34,14,7,13,50,49, ,10,3,4,31,20, ,4,4,9,19,29, ,1,49
6,Chicago Fire, ,34,14,7,13,47,52, ,10,3,4,29,21, ,4,4,9,18,31, ,-5,49
7,Philadelphia Union, ,34,12,10,12,42,44, ,7,5,5,23,18, ,5,5,7,19,26, ,-2,46
8,Columbus Crew, ,34,12,5,17,42,46, ,7,3,7,19,13, ,5,2,10,23,33, ,-4,41
9,Toronto FC, ,34,6,11,17,30,47, ,4,8,5,23,22, ,2,3,12,7,25, ,-17,29
10,DC United, ,34,3,7,24,22,59, ,3,4,10,16,29, ,0,3,14,6,30, ,-37,16
Western Conference, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Portland Timbers, ,34,14,15,5,54,33, ,11,5,1,29,11, ,3,10,4,25,22, ,21,57
2,Real Salt Lake, ,34,16,8,10,57,41, ,10,4,3,31,16, ,6,4,7,26,25, ,16,56
3,Los Angeles Galaxy, ,34,15,8,11,53,38, ,11,4,2,32,8, ,4,3,9,20,29, ,15,53
4,Seattle Sounders FC, ,34,15,7,12,42,42, ,10,4,2,28,14, ,5,2,10,13,27, ,0,52
5,Colorado Rapids, ,34,14,9,11,45,38, ,10,4,3,30,16, ,4,5,7,15,19, ,7,51
6,San Jose Earthquakes, ,34,14,9,11,35,42, ,11,5,1,23,13, ,3,4,10,12,29, ,-7,51
7,Vancouver Whitecaps, ,34,13,9,12,53,45, ,8,5,3,29,19, ,4,4,9,21,26, ,8,48
8,FC Dallas, ,34,11,11,12,48,52, ,9,5,3,29,22, ,2,6,9,19,30, ,-4,44
9,Chivas USA, ,34,6,8,20,30,67, ,5,4,8,17,29, ,1,4,12,13,38, ,-37,26
