, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Barcelona, ,38,30,6,2,95,21, ,16,2,1,46,10, ,14,4,1,49,11, ,74,96
2,Real Madrid, ,38,29,5,4,102,33, ,16,1,2,61,12, ,13,4,2,41,21, ,69,92
3,Valencia, ,38,21,8,9,64,44, ,10,5,4,34,21, ,11,3,5,30,23, ,20,71
4,Villarreal, ,38,18,8,12,54,44, ,13,3,3,33,14, ,5,5,9,21,30, ,10,62
5,Sevilla FC, ,38,17,7,14,62,61, ,10,4,5,35,27, ,7,3,9,27,34, ,1,58
6,Athletic Bilbao, ,38,18,4,16,59,55, ,12,1,6,32,20, ,6,3,10,27,35, ,4,58
7,Atletico Madrid, ,38,17,7,14,62,53, ,10,3,6,35,20, ,7,4,8,27,33, ,9,58
8,Espanyol, ,38,15,4,19,46,55, ,11,2,6,33,22, ,4,2,13,13,33, ,-9,49
9,Osasuna, ,38,13,8,17,45,46, ,10,6,3,28,14, ,3,2,14,17,32, ,-1,47
10,Sporting Gijon, ,38,11,14,13,35,42, ,9,6,4,23,16, ,2,8,9,12,26, ,-7,47
11,Malaga, ,38,13,7,18,54,68, ,7,3,9,29,29, ,6,4,9,25,39, ,-14,46
12,Racing Santander, ,38,12,10,16,41,56, ,8,6,5,25,21, ,4,4,11,16,35, ,-15,46
13,Real Zaragoza, ,38,12,9,17,40,53, ,9,3,7,26,27, ,3,6,10,14,26, ,-13,45
14,Levante, ,38,12,9,17,41,52, ,9,4,6,25,20, ,3,5,11,16,32, ,-11,45
15,Real Sociedad, ,38,14,3,21,49,66, ,11,2,6,27,21, ,3,1,15,22,45, ,-17,45
16,Getafe, ,38,12,8,18,49,60, ,9,3,7,33,26, ,3,5,11,16,34, ,-11,44
17,Mallorca, ,38,12,8,18,41,56, ,9,4,6,25,19, ,3,4,12,16,37, ,-15,44
18,Deportivo La Coruña, ,38,10,13,15,31,47, ,8,6,5,22,19, ,2,7,10,9,28, ,-16,43
19,Hercules, ,38,9,8,21,36,60, ,7,5,7,27,27, ,2,3,14,9,33, ,-24,35
20,Almeria, ,38,6,12,20,36,70, ,3,10,6,23,35, ,3,2,14,13,35, ,-34,30
