, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Juventus, ,34,21,9,4,64,29, ,12,4,1,37,14, ,9,5,3,27,15, ,35,72
2,Internazionale, ,34,19,8,7,64,38, ,10,5,2,34,13, ,9,3,5,30,25, ,26,65
3,AC Milan, ,34,18,7,9,55,30, ,12,4,1,32,11, ,6,3,8,23,19, ,25,61
4,Lazio, ,34,15,15,4,57,32, ,7,8,2,31,16, ,8,7,2,26,16, ,25,60
5,Parma, ,34,15,11,8,55,36, ,11,2,4,31,19, ,4,9,4,24,17, ,19,56
6,Udinese, ,34,16,8,10,38,35, ,11,5,1,22,12, ,5,3,9,16,23, ,3,56
7,Chievo Verona, ,34,16,7,11,51,39, ,11,3,3,31,19, ,5,4,8,20,20, ,12,55
8,AS Roma, ,34,13,10,11,55,46, ,9,5,3,34,19, ,4,5,8,21,27, ,9,49
9,Brescia, ,34,9,15,10,36,38, ,6,7,4,20,15, ,3,8,6,16,23, ,-2,42
10,Perugia, ,34,10,12,12,40,48, ,9,4,4,22,13, ,1,8,8,18,35, ,-8,42
11,Bologna, ,34,10,11,13,39,47, ,9,3,5,25,19, ,1,8,8,14,28, ,-8,41
12,Empoli, ,34,9,11,14,36,46, ,4,8,5,19,21, ,5,3,9,17,25, ,-10,38
13,Atalanta, ,34,8,14,12,35,47, ,5,8,4,20,21, ,3,6,8,15,26, ,-12,38
14,Reggina, ,34,10,8,16,38,53, ,8,5,4,26,20, ,2,3,12,12,33, ,-15,38
15,Modena, ,34,9,11,14,30,48, ,6,6,5,15,18, ,3,5,9,15,30, ,-18,38
16,Piacenza, ,34,8,6,20,44,62, ,6,4,7,29,29, ,2,2,13,15,33, ,-18,30
17,Como, ,34,4,12,18,29,57, ,3,7,7,20,26, ,1,5,11,9,31, ,-28,24
18,Torino, ,34,4,9,21,23,58, ,4,4,9,10,26, ,0,5,12,13,32, ,-35,21
