, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Juventus, ,38,27,6,5,71,24, ,14,3,2,36,10, ,13,3,3,35,14, ,47,87
2,Napoli, ,38,23,9,6,73,36, ,14,4,1,44,18, ,9,5,5,29,18, ,37,78
3,AC Milan, ,38,21,9,8,67,39, ,13,2,4,33,15, ,8,7,4,34,24, ,28,72
4,Fiorentina, ,38,21,7,10,72,44, ,13,4,2,40,19, ,8,3,8,32,25, ,28,70
5,Udinese, ,38,18,12,8,59,45, ,11,7,1,31,16, ,7,5,7,28,29, ,14,66
6,AS Roma, ,38,18,8,12,71,56, ,10,5,4,40,24, ,8,3,8,31,32, ,15,62
7,Lazio, ,38,18,7,13,51,42, ,13,2,4,35,16, ,5,5,9,16,26, ,9,61
8,Catania, ,38,15,11,12,50,46, ,12,4,3,31,15, ,3,7,9,19,31, ,4,56
9,Internazionale, ,38,16,6,16,55,57, ,8,4,7,30,31, ,8,2,9,25,26, ,-2,54
10,Parma, ,38,13,10,15,45,46, ,9,6,4,28,18, ,4,4,11,17,28, ,-1,49
11,Cagliari, ,38,12,11,15,43,55, ,8,4,7,24,24, ,4,7,8,19,31, ,-12,47
12,Chievo Verona, ,38,12,9,17,37,52, ,6,8,5,18,16, ,6,1,12,19,36, ,-15,45
13,Bologna, ,38,11,11,16,46,52, ,6,8,5,30,24, ,5,3,11,16,28, ,-6,44
14,Sampdoria, ,38,11,10,17,43,51, ,8,3,8,25,22, ,3,7,9,18,29, ,-8,42
15,Atalanta, ,38,11,9,18,39,56, ,6,6,7,19,24, ,5,3,11,20,32, ,-17,40
16,Torino, ,38,8,16,14,46,55, ,6,6,7,23,26, ,2,10,7,23,29, ,-9,39
17,Genoa, ,38,8,14,16,38,52, ,5,7,7,26,30, ,3,7,9,12,22, ,-14,38
18,Palermo, ,38,6,14,18,34,54, ,5,7,7,24,26, ,1,7,11,10,28, ,-20,32
19,Siena, ,38,9,9,20,36,57, ,6,5,8,16,19, ,3,4,12,20,38, ,-21,30
20,US Pescara, ,38,6,4,28,27,84, ,4,1,14,15,42, ,2,3,14,12,42, ,-57,22
