Eastern Conference, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,New England Revolution, ,32,17,8,7,55,37, ,11,3,2,28,13, ,6,5,5,27,24, ,18,59
2,DC United, ,32,16,6,10,58,37, ,9,2,5,37,22, ,7,4,5,21,15, ,21,54
3,Chicago Fire, ,32,15,4,13,49,50, ,8,3,5,30,27, ,7,1,8,19,23, ,-1,49
4,New York Red Bulls, ,32,12,11,9,53,49, ,6,7,3,28,27, ,6,4,6,25,22, ,4,47
5,Sporting Kansas City, ,32,11,12,9,52,44, ,6,6,4,23,18, ,5,6,5,29,26, ,8,45
6,Columbus Crew, ,32,11,5,16,34,45, ,7,1,8,15,19, ,4,4,8,19,26, ,-11,38
Western Conference, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,San Jose Earthquakes, ,32,18,10,4,53,31, ,9,7,0,30,14, ,9,3,4,23,17, ,22,64
2,FC Dallas, ,32,13,9,10,52,44, ,8,5,3,28,20, ,5,4,7,24,24, ,8,48
3,Colorado Rapids, ,32,13,6,13,40,37, ,10,2,4,24,14, ,3,4,9,16,23, ,3,45
4,Los Angeles Galaxy, ,32,13,6,13,44,45, ,10,3,3,29,17, ,3,3,10,15,28, ,-1,45
5,Real Salt Lake, ,32,5,5,22,30,65, ,5,3,8,19,24, ,0,2,14,11,41, ,-35,20
6,Chivas USA, ,32,4,6,22,31,67, ,3,2,11,15,30, ,1,4,11,16,37, ,-36,18
