, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Internazionale, ,38,23,7,8,68,30, ,16,1,2,47,13, ,7,6,6,21,17, ,38,76
2,AS Roma, ,38,19,12,7,70,42, ,11,4,4,35,21, ,8,8,3,35,21, ,28,69
3,AC Milan, ,38,28,4,6,85,31, ,18,1,0,50,13, ,10,3,6,35,18, ,54,58
4,Chievo Verona, ,38,13,15,10,54,49, ,9,8,2,33,19, ,4,7,8,21,30, ,5,54
5,Palermo, ,38,13,13,12,50,52, ,9,5,5,31,26, ,4,8,7,19,26, ,-2,52
6,Livorno, ,38,12,13,13,37,44, ,8,7,4,22,17, ,4,6,9,15,27, ,-7,49
7,Parma, ,38,12,9,17,46,60, ,7,7,5,25,22, ,5,2,12,21,38, ,-14,45
8,Empoli, ,38,13,6,19,47,61, ,9,3,7,26,26, ,4,3,12,21,35, ,-14,45
9,Fiorentina, ,38,22,8,8,66,41, ,16,1,2,42,20, ,6,7,6,24,21, ,25,44
10,Ascoli, ,38,9,16,13,43,53, ,7,8,4,27,25, ,2,8,9,16,28, ,-10,43
11,Udinese, ,38,11,10,17,40,54, ,6,5,8,19,22, ,5,5,9,21,32, ,-14,43
12,Sampdoria, ,38,10,11,17,47,51, ,6,6,7,29,29, ,4,5,10,18,22, ,-4,41
13,Reggina, ,38,11,8,19,39,65, ,8,4,7,25,28, ,3,4,12,14,37, ,-26,41
14,Cagliari, ,38,8,15,15,42,55, ,6,11,2,23,17, ,2,4,13,19,38, ,-13,39
15,Siena, ,38,9,12,17,42,60, ,5,5,9,18,27, ,4,7,8,24,33, ,-18,39
16,Lazio, ,38,16,14,8,57,47, ,11,7,1,34,18, ,5,7,7,23,29, ,10,32
17,Messina, ,38,6,13,19,33,59, ,4,9,6,19,25, ,2,4,13,14,34, ,-26,31
18,Lecce, ,38,7,8,23,30,57, ,4,7,8,16,22, ,3,1,15,14,35, ,-27,29
19,Treviso, ,38,3,12,23,24,56, ,2,4,13,12,26, ,1,8,10,12,30, ,-32,21
20,Juventus, ,38,27,10,1,71,24, ,14,5,0,33,9, ,13,5,1,38,15, ,47,91
