, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,VfL Wolfsburg, ,34,21,6,7,80,41, ,16,1,0,51,13, ,5,5,7,29,28, ,39,69
2,Bayern Munich, ,34,20,7,7,71,42, ,12,2,3,45,23, ,8,5,4,26,19, ,29,67
3,VfB Stuttgart, ,34,19,7,8,63,43, ,12,3,2,34,14, ,7,4,6,29,29, ,20,64
4,Hertha Berlin, ,34,19,6,9,48,41, ,12,3,2,29,14, ,7,3,7,19,27, ,7,63
5,Hamburg SV, ,34,19,4,11,49,47, ,13,2,2,27,13, ,6,2,9,22,34, ,2,61
6,Borussia Dortmund, ,34,15,14,5,60,37, ,8,9,0,34,11, ,7,5,5,26,26, ,23,59
7,TSG Hoffenheim, ,34,15,10,9,63,49, ,9,5,3,30,18, ,6,5,6,33,31, ,14,55
8,Schalke 04, ,34,14,8,12,47,35, ,9,3,5,26,15, ,5,5,7,21,20, ,12,50
9,Bayer Leverkusen, ,34,14,7,13,59,46, ,6,5,6,31,22, ,8,2,7,28,24, ,13,49
10,Werder Bremen, ,34,12,9,13,64,50, ,10,4,3,43,22, ,2,5,10,21,28, ,14,45
11,Hannover 96, ,34,10,10,14,49,69, ,8,7,2,31,25, ,2,3,12,18,44, ,-20,40
12,FC Cologne, ,34,11,6,17,35,50, ,4,5,8,14,25, ,7,1,9,21,25, ,-15,39
13,Eintracht Frankfurt, ,34,8,9,17,39,60, ,5,4,8,26,29, ,3,5,9,13,31, ,-21,33
14,VfL Bochum, ,34,7,11,16,39,55, ,5,4,8,23,28, ,2,7,8,16,27, ,-16,32
15,Borussia Monchengladbach, ,34,8,7,19,39,62, ,5,4,8,23,27, ,3,3,11,16,35, ,-23,31
16,Energie Cottbus, ,34,8,6,20,30,57, ,6,1,10,19,27, ,2,5,10,11,30, ,-27,30
17,Karlsruher SC, ,34,8,5,21,30,54, ,5,4,8,18,22, ,3,1,13,12,32, ,-24,29
18,Arminia Bielefeld, ,34,4,16,14,29,56, ,2,8,7,16,26, ,2,8,7,13,30, ,-27,28
