, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Bayern Munich, ,34,22,10,2,68,21, ,12,5,0,41,8, ,10,5,2,27,13, ,47,76
2,Werder Bremen, ,34,20,6,8,75,45, ,13,0,4,48,19, ,7,6,4,27,26, ,30,66
3,Schalke 04, ,34,18,10,6,55,32, ,10,4,3,29,13, ,8,6,3,26,19, ,23,64
4,Hamburg SV, ,34,14,12,8,47,26, ,9,5,3,30,11, ,5,7,5,17,15, ,21,54
5,VfL Wolfsburg, ,34,15,9,10,58,46, ,7,6,4,28,17, ,8,3,6,30,29, ,12,54
6,VfB Stuttgart, ,34,16,4,14,57,57, ,12,2,3,39,19, ,4,2,11,18,38, ,0,52
7,Bayer Leverkusen, ,34,15,6,13,57,40, ,9,4,4,32,13, ,6,2,9,25,27, ,17,51
8,Hannover 96, ,34,13,10,11,54,56, ,8,5,4,32,27, ,5,5,7,22,29, ,-2,49
9,Eintracht Frankfurt, ,34,12,10,12,43,50, ,8,4,5,24,24, ,4,6,7,19,26, ,-7,46
10,Hertha Berlin, ,34,12,8,14,39,44, ,9,3,5,21,18, ,3,5,9,18,26, ,-5,44
11,Karlsruher SC, ,34,11,10,13,38,53, ,6,6,5,23,22, ,5,4,8,15,31, ,-15,43
12,VfL Bochum, ,34,10,11,13,48,54, ,5,9,3,32,28, ,5,2,10,16,26, ,-6,41
13,Borussia Dortmund, ,34,10,10,14,50,62, ,7,5,5,29,24, ,3,5,9,21,38, ,-12,40
14,Energie Cottbus, ,34,9,9,16,35,56, ,8,2,7,25,20, ,1,7,9,10,36, ,-21,36
15,Arminia Bielefeld, ,34,8,10,16,35,60, ,7,4,6,21,18, ,1,6,10,14,42, ,-25,34
16,Nurnberg, ,34,7,10,17,35,51, ,5,7,5,21,18, ,2,3,12,14,33, ,-16,31
17,Hansa Rostock, ,34,8,6,20,30,52, ,5,4,8,17,21, ,3,2,12,13,31, ,-22,30
18,MSV Duisburg, ,34,8,5,21,36,55, ,3,3,11,19,29, ,5,2,10,17,26, ,-19,29
