, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Lille, ,38,21,13,4,68,36, ,13,5,1,40,17, ,8,8,3,28,19, ,32,76
2,Marseille, ,38,18,14,6,62,39, ,10,7,2,34,19, ,8,7,4,28,20, ,23,68
3,Lyon, ,38,17,13,8,61,40, ,11,7,1,35,12, ,6,6,7,26,28, ,21,64
4,Paris Saint-Germain, ,38,15,15,8,56,41, ,9,8,2,33,20, ,6,7,6,23,21, ,15,60
5,Sochaux, ,38,17,7,14,60,43, ,12,4,3,36,17, ,5,3,11,24,26, ,17,58
6,Stade Rennes, ,38,15,11,12,38,35, ,9,6,4,22,13, ,6,5,8,16,22, ,3,56
7,Bordeaux, ,38,12,15,11,43,42, ,8,6,5,22,17, ,4,9,6,21,25, ,1,51
8,Toulouse, ,38,14,8,16,38,36, ,8,4,7,19,13, ,6,4,9,19,23, ,2,50
9,AJ Auxerre, ,38,10,19,9,45,41, ,6,10,3,26,18, ,4,9,6,19,23, ,4,49
10,St Etienne, ,38,12,13,13,46,47, ,7,7,5,29,25, ,5,6,8,17,22, ,-1,49
11,Lorient, ,38,12,13,13,46,48, ,8,8,3,27,13, ,4,5,10,19,35, ,-2,49
12,Valenciennes, ,38,10,18,10,45,41, ,8,9,2,28,17, ,2,9,8,17,24, ,4,48
13,AS Nancy Lorraine, ,38,13,9,16,43,48, ,8,3,8,23,21, ,5,6,8,20,27, ,-5,48
14,Montpellier, ,38,12,11,15,32,43, ,7,5,7,21,20, ,5,6,8,11,23, ,-11,47
15,Caen, ,38,11,13,14,46,51, ,6,7,6,22,25, ,5,6,8,24,26, ,-5,46
16,Brest, ,38,11,13,14,36,43, ,6,9,4,21,17, ,5,4,10,15,26, ,-7,46
17,Nice, ,38,11,13,14,33,48, ,9,5,5,22,22, ,2,8,9,11,26, ,-15,46
18,AS Monaco, ,38,9,17,12,36,40, ,5,9,5,16,17, ,4,8,7,20,23, ,-4,44
19,Lens, ,38,7,14,17,35,58, ,5,5,9,20,26, ,2,9,8,15,32, ,-23,35
20,Arles, ,38,3,11,24,21,70, ,2,6,11,14,31, ,1,5,13,7,39, ,-49,20
