, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Barcelona, ,38,31,6,1,98,24, ,18,1,0,57,11, ,13,5,1,41,13, ,74,99
2,Real Madrid, ,38,31,3,4,102,35, ,18,0,1,60,18, ,13,3,3,42,17, ,67,96
3,Valencia, ,38,21,8,9,59,40, ,13,5,1,34,12, ,8,3,8,25,28, ,19,71
4,Sevilla FC, ,38,19,6,13,65,49, ,10,6,3,33,18, ,9,0,10,32,31, ,16,63
5,Mallorca, ,38,18,8,12,59,44, ,15,1,3,42,15, ,3,7,9,17,29, ,15,62
6,Getafe, ,38,17,7,14,58,48, ,11,4,4,34,22, ,6,3,10,24,26, ,10,58
7,Villarreal, ,38,16,8,14,58,57, ,13,3,3,35,18, ,3,5,11,23,39, ,1,56
8,Athletic Bilbao, ,38,15,9,14,50,53, ,11,4,4,34,24, ,4,5,10,16,29, ,-3,54
9,Atletico Madrid, ,38,13,8,17,57,61, ,11,3,5,37,24, ,2,5,12,20,37, ,-4,47
10,Deportivo La Coruña, ,38,13,8,17,35,49, ,9,4,6,22,21, ,4,4,11,13,28, ,-14,47
11,Espanyol, ,38,11,11,16,29,46, ,9,6,4,20,17, ,2,5,12,9,29, ,-17,44
12,Osasuna, ,38,11,10,17,37,46, ,7,8,4,21,16, ,4,2,13,16,30, ,-9,43
13,Almeria, ,38,10,12,16,43,55, ,8,6,5,25,23, ,2,6,11,18,32, ,-12,42
14,Real Zaragoza, ,38,10,11,17,46,64, ,7,6,6,27,23, ,3,5,11,19,41, ,-18,41
15,Sporting Gijon, ,38,9,13,16,36,51, ,7,7,5,20,18, ,2,6,11,16,33, ,-15,40
16,Racing Santander, ,38,9,12,17,42,59, ,4,5,10,17,32, ,5,7,7,25,27, ,-17,39
17,Malaga, ,38,7,16,15,42,48, ,5,8,6,21,21, ,2,8,9,21,27, ,-6,37
18,Real Valladolid, ,38,7,15,16,37,62, ,4,8,7,23,32, ,3,7,9,14,30, ,-25,36
19,Tenerife, ,38,9,9,20,40,74, ,8,6,5,26,29, ,1,3,15,14,45, ,-34,36
20,Xerez, ,38,8,10,20,38,66, ,6,4,9,20,29, ,2,6,11,18,37, ,-28,34
