, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Real Madrid, ,38,27,4,7,84,36, ,17,0,2,53,18, ,10,4,5,31,18, ,48,85
2,Villarreal, ,38,24,5,9,63,40, ,12,5,2,33,15, ,12,0,7,30,25, ,23,77
3,Barcelona, ,38,19,10,9,76,43, ,14,2,3,46,12, ,5,8,6,30,31, ,33,67
4,Atletico Madrid, ,38,19,7,12,66,47, ,12,2,5,45,26, ,7,5,7,21,21, ,19,64
5,Sevilla FC, ,38,20,4,14,75,49, ,13,1,5,46,20, ,7,3,9,29,29, ,26,64
6,Racing Santander, ,38,17,9,12,42,41, ,11,3,5,24,18, ,6,6,7,18,23, ,1,60
7,Mallorca, ,38,15,14,9,69,54, ,9,6,4,35,22, ,6,8,5,34,32, ,15,59
8,Almeria, ,38,14,10,14,42,45, ,9,5,5,18,14, ,5,5,9,24,31, ,-3,52
9,Deportivo La Coruña, ,38,15,7,16,46,47, ,9,3,7,24,23, ,6,4,9,22,24, ,-1,52
10,Valencia, ,38,15,6,17,48,62, ,7,3,9,24,31, ,8,3,8,24,31, ,-14,51
11,Athletic Bilbao, ,38,13,11,14,40,43, ,7,8,4,22,14, ,6,3,10,18,29, ,-3,50
12,Espanyol, ,38,13,9,16,43,53, ,8,3,8,21,23, ,5,6,8,22,30, ,-10,48
13,Real Betis, ,38,12,11,15,45,51, ,7,4,8,27,26, ,5,7,7,18,25, ,-6,47
14,Getafe, ,38,12,11,15,44,48, ,7,7,5,24,22, ,5,4,10,20,26, ,-4,47
15,Real Valladolid, ,38,11,12,15,42,57, ,6,9,4,19,18, ,5,3,11,23,39, ,-15,45
16,Recreativo Huelva, ,38,11,11,16,40,60, ,6,7,6,24,25, ,5,4,10,16,35, ,-20,44
17,Osasuna, ,38,12,7,19,37,44, ,8,4,7,25,21, ,4,3,12,12,23, ,-7,43
18,Real Zaragoza, ,38,10,12,16,50,61, ,9,7,3,36,24, ,1,5,13,14,37, ,-11,42
19,Murcia, ,38,7,9,22,36,65, ,6,4,9,21,26, ,1,5,13,15,39, ,-29,30
20,Levante, ,38,7,5,26,33,75, ,5,4,10,22,34, ,2,1,16,11,41, ,-42,26
