, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Lyon, ,38,25,9,4,73,31, ,13,4,2,40,18, ,12,5,2,33,13, ,42,84
2,Bordeaux, ,38,18,15,5,43,25, ,11,7,1,23,11, ,7,8,4,20,14, ,18,69
3,Lille, ,38,16,14,8,56,31, ,12,5,2,33,7, ,4,9,6,23,24, ,25,62
4,Lens, ,38,14,18,6,48,34, ,11,7,1,34,14, ,3,11,5,14,20, ,14,60
5,Marseille, ,38,16,12,10,44,35, ,10,8,1,28,13, ,6,4,9,16,22, ,9,60
6,AJ Auxerre, ,38,17,8,13,50,39, ,13,3,3,33,9, ,4,5,10,17,30, ,11,59
7,Stade Rennes, ,38,18,5,15,48,49, ,11,3,5,34,25, ,7,2,10,14,24, ,-1,59
8,Nice, ,38,16,10,12,36,31, ,11,4,4,22,12, ,5,6,8,14,19, ,5,58
9,Paris Saint-Germain, ,38,13,13,12,44,38, ,11,3,5,34,20, ,2,10,7,10,18, ,6,52
10,AS Monaco, ,38,13,13,12,42,36, ,8,7,4,23,14, ,5,6,8,19,22, ,6,52
11,Le Mans, ,38,13,13,12,33,36, ,9,7,3,21,8, ,4,6,9,12,28, ,-3,52
12,AS Nancy Lorraine, ,38,12,12,14,35,37, ,5,8,6,19,17, ,7,4,8,16,20, ,-2,48
13,St Etienne, ,38,11,14,13,29,39, ,6,8,5,18,15, ,5,6,8,11,24, ,-10,47
14,Nantes, ,38,11,12,15,37,41, ,7,7,5,22,18, ,4,5,10,15,23, ,-4,45
15,Sochaux, ,38,11,11,16,34,47, ,6,7,6,17,19, ,5,4,10,17,28, ,-13,44
16,Toulouse, ,38,10,11,17,36,47, ,7,6,6,21,18, ,3,5,11,15,29, ,-11,41
17,Troyes, ,38,9,12,17,37,47, ,6,7,6,20,18, ,3,5,11,17,29, ,-10,39
18,AC Ajaccio, ,38,8,9,21,27,53, ,6,5,8,15,20, ,2,4,13,12,33, ,-26,33
19,Strasbourg, ,38,5,14,19,33,56, ,2,8,9,15,26, ,3,6,10,18,30, ,-23,29
20,Metz, ,38,6,11,21,26,59, ,5,4,10,13,24, ,1,7,11,13,35, ,-33,29
